"School.ID","Latitude","Longitude"
609848,41.65743243,-87.60649623
609775,41.76510322,-87.6582125
610156,41.87378243,-87.75920297
610268,41.74015307,-87.60113659
609781,41.80214349,-87.6257474
610265,41.77275433,-87.63729464
609797,41.88529401,-87.70581859
610365,41.87019518,-87.70216173
610161,41.78857298,-87.65634499
610242,41.95997841,-87.64971223
609809,41.93097047,-87.69625758
609812,41.88298698,-87.67071879
610280,41.72782129,-87.56439326
609819,41.79679285,-87.61617809
610243,41.87822115,-87.69755292
610018,41.80434474,-87.59039494
609844,41.78984129,-87.62248974
609845,41.65367428,-87.59952683
609851,41.8664078,-87.69526079
610347,41.77753754,-87.68108634
609864,41.74526284,-87.6598119
609873,41.85266155,-87.7125068
610521,41.77122181,-87.66656657
610367,41.87799914,-87.7662615
609881,41.87877166,-87.72464875
610252,41.88401623,-87.68472465
609885,41.7956493,-87.642615
609894,41.84379445,-87.61776768
610266,41.77350389,-87.60105531
610320,41.90672216,-87.69300325
609897,41.78230211,-87.66777712
609906,41.88037642,-87.76327497
609907,41.87576191,-87.71584573
609916,41.76772772,-87.59039017
609917,41.71119799,-87.6403774
609919,41.78290934,-87.60259685
609928,41.8180061,-87.61182077
400095,41.87963,-87.706712
610128,41.7065956,-87.64754034
610348,41.87778081,-87.73273021
609943,41.67058298,-87.62258098
609913,41.78125258,-87.67555599
609947,41.81329195,-87.64338051
610032,41.71931953,-87.65248591
609955,41.73891334,-87.64506169
609986,41.79061716,-87.67192466
609987,41.81579314,-87.63370133
610240,41.86356038,-87.72158636
609989,41.87984242,-87.68031236
609991,41.86225473,-87.71825927
610299,41.76536255,-87.6413274
609997,41.79376044,-87.64977785
610368,41.70536999,-87.62985093
610005,41.86049033,-87.73177486
610369,41.73409818,-87.64675679
610012,41.90205805,-87.64101894
610015,41.85810053,-87.65233933
610020,41.88983589,-87.76633519
610023,41.87186209,-87.68875632
610028,41.70485072,-87.62360199
610030,41.7980295,-87.60246287
610031,41.89940402,-87.69494543
609869,41.784703,-87.657046
610034,41.86298683,-87.71300615
610045,41.71440176,-87.56716721
610036,41.90682528,-87.75451319
610037,41.79764784,-87.65996858
610029,41.90891372,-87.66505758
610047,41.75955224,-87.59067582
610048,41.90825367,-87.63986347
610241,41.88431659,-87.73936153
610056,41.85685194,-87.73049117
610058,41.87358321,-87.74931216
610061,41.82732778,-87.61978251
610290,41.77256081,-87.64612737
610062,41.82998962,-87.64106579
610282,41.8978464,-87.74674645
610293,41.87474954,-87.73051772
609902,41.6694559,-87.63426928
610276,41.81434006,-87.61658079
610075,41.86471954,-87.66648084
610072,41.74124549,-87.64007166
610085,41.89551132,-87.66123981
610193,41.744144,-87.543007
610103,41.76861557,-87.57284299
610108,41.77418952,-87.67513395
610277,41.80557578,-87.62012252
609932,41.66737294,-87.62242272
610273,41.85094816,-87.71726618
610114,41.80169919,-87.63297392
610116,41.76856599,-87.58299131
610119,41.89986912,-87.66419014
610123,41.85836995,-87.72133609
610395,41.83649005,-87.61837372
610106,41.9001461,-87.73129753
610013,41.85887606,-87.6622254
610134,41.85570712,-87.70299144
610281,41.76032435,-87.55673627
610139,41.68879566,-87.60939383
610143,41.80420101,-87.6049443
610146,41.76422335,-87.60017165
610256,41.81735839,-87.59903174
610150,41.78383382,-87.62365383
610153,41.73536767,-87.63887904
610154,41.89321142,-87.71883334
610169,41.78517099,-87.60866927
610172,41.79978772,-87.65025483
610176,41.69093337,-87.65870614
610180,41.86532347,-87.65347031
610160,41.68086831,-87.62505762
610339,41.75892669,-87.6492534
610187,41.96434608,-87.65605252
610189,41.9623189,-87.66388983
610065,41.775888,-87.609477
610202,41.88409703,-87.73052949
610205,41.97621644,-87.6697616
610210,41.90672216,-87.69300325
610213,41.77812652,-87.59815597
610133,41.88845002,-87.71752405
610218,41.72677474,-87.5753162
610221,41.86988904,-87.72748159
610110,41.82390751,-87.61978794
610224,41.67666008,-87.63570683
610225,41.68391137,-87.65534733
