SchoolID,NAME,Managed by Network,Geographic Area,"ES
or
HS","20th DAY
2013-14 School
Enrollment",Total # CR,IC,School's Space Utilization Index,"Space Use Status - 
Permanent","Moible
CR's","Leased
Cr's",Adj IC,Adj Util,"Space Use Status - 
Adjusted",,,,,,,,,
610242,BRENNEMANN,2,Ravenswood,ES,502,28.0,630,80%,Efficient,,,,80%,Efficient,,,,,,,,,
609809,BRENTANO,OS4,Logan,ES,411,42.0,960,43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
609810,BRIDGE,1,Reed-Dunning,ES,1049,22.0,480,219%,Overcrowded,4,10,810,130%,Overcrowded,,,,,,,,,
609811,BRIGHT,13,Far East Side,ES,290,31.5,720,40%,Underutilized,,,,40%,Underutilized,,,,,,,,,
610317,BRIGHTON PARK,8,McKinley Park,ES,593,30.0,690,86%,Efficient,,,,86%,Efficient,,,,,,,,,
610381,BRONZEVILLE HS,OS4,Bronzeville,HS,516,41.0,984,52%,Underutilized,,,,52%,Underutilized,,,,,,,,,
400019,BRONZEVILLE LIGHTHOUSE,Charter,Bronzeville,ES,488,30.0,690,71%,Underutilized,,,,71%,Underutilized,,,,,,,,,
609726,BROOKS HS,13,Far South Side,HS,783,42.0,"1,008",78%,Underutilized,,,,78%,Underutilized,,,,,,,,,
610091,"BROWN, R",13,Far South Side,ES,292,18.0,390,75%,Underutilized,2,,450,65%,Underutilized,,,,,,,,,
609812,"BROWN, W",OS4,Near West,ES,224,28.5,630,36%,Underutilized,,,,36%,Underutilized,,,,,,,,,
609813,BROWNELL,12,Chatham,ES,261,19.0,420,62%,Underutilized,,,,62%,Underutilized,,,,,,,,,
609830,BRUNSON,3,Austin,ES,645,41.0,930,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
609817,BUDLONG,2,Ravenswood,ES,874,38.0,870,100%,Efficient,2,,900,97%,Efficient,,,,,,,,,
609818,BURBANK,3,Belmont Cragin,ES,955,55.5,"1,260",76%,Underutilized,,,,76%,Underutilized,,,,,,,,,
609819,BURKE,OS4,Bronzeville,ES,369,31.5,720,51%,Underutilized,,,,51%,Underutilized,,,,,,,,,
609820,BURLEY,4,Lincoln Park,ES,550,19.0,420,131%,Overcrowded,,,,131%,Overcrowded,,,,,,,,,
609821,BURNHAM,13,Far East Side,ES,581,37.5,840,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
609827,BURNSIDE,12,Chatham,ES,679,37.0,840,81%,Efficient,,,,81%,Efficient,,,,,,,,,
609828,BURR,6,Near North,ES,388,20.0,450,86%,Efficient,,,,86%,Efficient,,,,,,,,,
609829,BURROUGHS,8,McKinley Park,ES,519,14.5,330,157%,Overcrowded,4,,420,124%,Overcrowded,,,,,,,,,
609832,BYRNE,10,MDW,ES,671,22.0,480,140%,Overcrowded,12,,780,86%,Efficient,,,,,,,,,
609833,CALDWELL,12,Chatham,ES,283,31.0,690,41%,Underutilized,,,,41%,Underutilized,,,,,,,,,
610353,CALMECA,8,McKinley Park,ES,811,36.0,810,100%,Efficient,,,,100%,Efficient,,,,,,,,,
610572,CAMELOT SAFE ELEM,Options,South Shore,ES,21,N/A,150,14%,Underutilized,,,,14%,Underutilized,,,,,,,,,
610573,CAMELOT SAFE HS,Options,South Shore,HS,16,N/A,150,11%,Underutilized,,,,11%,Underutilized,,,,,,,,,
609835,CAMERON,5,Humboldt Park,ES,811,46.0,"1,050",77%,Underutilized,,,,77%,Underutilized,,,,,,,,,
610539,CAMRAS,3,Belmont Cragin,ES,1001,49.0,"1,110",90%,Efficient,,,,90%,Efficient,,,,,,,,,
610018,CANTER,9,Hyde Park,ES,95,17.0,390,24%,Underutilized,,,,24%,Underutilized,,,,,,,,,
609836,CANTY,1,Reed-Dunning,ES,812,24.5,540,150%,Overcrowded,8,,750,108%,Efficient,,,,,,,,,
610024,CARDENAS,7,Pilsen - Little Village,ES,713,34.0,780,91%,Efficient,,,,91%,Efficient,,,,,,,,,
609837,CARNEGIE,OS4,Woodlawn,ES,669,30.5,690,97%,Efficient,,,,97%,Efficient,,,,,,,,,
609839,CARROLL,10,Ashburn,ES,533,34.0,780,68%,Underutilized,,,,68%,Underutilized,,,,,,,,,
609842,CARSON,8,McKinley Park,ES,1222,49.0,"1,110",110%,Efficient,,,,110%,Efficient,,,,,,,,,
609844,CARTER,AUSL,Bronzeville,ES,439,32.0,720,61%,Underutilized,,,,61%,Underutilized,,,,,,,,,
609845,CARVER ELEM,OS4,Far South Side,ES,507,46.0,"1,050",48%,Underutilized,,,,48%,Underutilized,,,,,,,,,
609760,CARVER MILITARY HS,13,Far South Side,HS,529,26.5,636,83%,Efficient,,,,83%,Efficient,,,,,,,,,
610021,CASALS,AUSL,Humboldt Park,ES,468,27.5,630,74%,Underutilized,,,,74%,Underutilized,,,,,,,,,
609849,CASSELL,10,Beverly,ES,367,16.0,360,102%,Efficient,,,,102%,Efficient,,,,,,,,,
609826,CASTELLANOS,7,Pilsen - Little Village,ES,586,26.5,600,98%,Efficient,,,,98%,Efficient,,,,,,,,,
