Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
3,35,3035,128,56.64%,16,7.08%,48,21.24%,16,7.08%,15,6.64%,3,1.33%,226,,4,0.59%,651,96.59%,10,1.48%,0,0.00%,1,0.15%,0,0.00%,1,0.15%,7,1.04%,674,AA
3,36,3036,34,51.52%,2,3.03%,23,34.85%,4,6.06%,3,4.55%,0,0.00%,66,,4,0.62%,627,97.21%,7,1.09%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,0.93%,645,AA
3,37,3037,57,57.00%,3,3.00%,22,22.00%,10,10.00%,7,7.00%,1,1.00%,100,,14,2.37%,546,92.39%,18,3.05%,1,0.17%,1,0.17%,0,0.00%,0,0.00%,11,1.86%,591,AA
3,38,3038,209,60.76%,8,2.33%,97,28.20%,20,5.81%,7,2.03%,3,0.87%,344,,26,3.82%,617,90.60%,22,3.23%,6,0.88%,0,0.00%,0,0.00%,0,0.00%,9,1.32%,681,AA
3,39,3039,220,68.32%,8,2.48%,68,21.12%,11,3.42%,10,3.11%,5,1.55%,322,,3,1.33%,214,94.69%,2,0.88%,0,0.00%,1,0.44%,0,0.00%,0,0.00%,5,2.21%,226,AA
3,40,3040,121,52.61%,14,6.09%,48,20.87%,23,10.00%,11,4.78%,13,5.65%,230,,15,1.69%,833,93.91%,20,2.25%,1,0.11%,1,0.11%,0,0.00%,2,0.23%,15,1.69%,887,AA
3,41,3041,103,52.82%,7,3.59%,63,32.31%,15,7.69%,3,1.54%,4,2.05%,195,,816,35.01%,899,38.57%,116,4.98%,437,18.75%,1,0.04%,2,0.09%,2,0.09%,58,2.49%,"2,331",Mixed
3,42,3042,108,63.53%,6,3.53%,33,19.41%,14,8.24%,5,2.94%,4,2.35%,170,,5,1.14%,422,96.57%,4,0.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,1.14%,437,AA
3,43,3043,22,59.46%,1,2.70%,12,32.43%,0,0.00%,1,2.70%,1,2.70%,37,,10,3.37%,260,87.54%,9,3.03%,13,4.38%,1,0.34%,0,0.00%,0,0.00%,4,1.35%,297,AA
3,44,3044,40,72.73%,1,1.82%,8,14.55%,4,7.27%,1,1.82%,1,1.82%,55,,2,0.44%,440,96.49%,8,1.75%,0,0.00%,1,0.22%,0,0.00%,0,0.00%,4,0.88%,456,AA
3,45,3045,217,65.56%,24,7.25%,39,11.78%,44,13.29%,3,0.91%,3,0.91%,331,,538,47.82%,298,26.49%,63,5.60%,195,17.33%,1,0.09%,0,0.00%,3,0.27%,25,2.22%,"1,125",Mixed
3,46,3046,20,40.82%,0,0.00%,17,34.69%,8,16.33%,4,8.16%,0,0.00%,49,,10,3.45%,254,87.59%,9,3.10%,13,4.48%,1,0.34%,0,0.00%,0,0.00%,4,1.38%,290,AA
