Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
15,36,15036,73,53.68%,3,2.21%,38,27.94%,15,11.03%,4,2.94%,3,2.21%,136,,2,0.35%,533,92.70%,37,6.43%,1,0.17%,0,0.00%,0,0.00%,0,0.00%,3,0.52%,575,AA
15,37,15037,67,67.00%,0,0.00%,21,21.00%,10,10.00%,1,1.00%,1,1.00%,100,,1,0.13%,764,97.08%,12,1.52%,0,0.00%,2,0.25%,0,0.00%,0,0.00%,7,0.89%,787,AA
15,38,15038,74,57.36%,8,6.20%,19,14.73%,20,15.50%,4,3.10%,4,3.10%,129,,27,2.72%,583,58.65%,373,37.53%,2,0.20%,3,0.30%,0,0.00%,1,0.10%,6,0.60%,994,AA
15,39,15039,77,50.33%,6,3.92%,42,27.45%,15,9.80%,10,6.54%,3,1.96%,153,,1,0.14%,666,95.97%,21,3.03%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.72%,694,AA
15,40,15040,74,60.66%,4,3.28%,30,24.59%,11,9.02%,3,2.46%,0,0.00%,122,,2,0.30%,640,97.12%,9,1.37%,0,0.00%,1,0.15%,0,0.00%,1,0.15%,6,0.91%,659,AA
15,41,15041,138,60.79%,9,3.96%,36,15.86%,34,14.98%,6,2.64%,4,1.76%,227,,23,4.74%,404,83.30%,49,10.10%,3,0.62%,0,0.00%,0,0.00%,0,0.00%,5,1.03%,485,AA
15,42,15042,57,64.77%,0,0.00%,16,18.18%,9,10.23%,5,5.68%,1,1.14%,88,,3,0.81%,350,94.59%,12,3.24%,2,0.54%,1,0.27%,0,0.00%,0,0.00%,3,0.81%,370,AA
15,43,15043,79,65.83%,4,3.33%,31,25.83%,4,3.33%,2,1.67%,0,0.00%,120,,1,0.25%,367,92.68%,24,6.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.51%,396,AA
15,44,15044,93,52.25%,21,11.80%,20,11.24%,38,21.35%,4,2.25%,2,1.12%,178,,76,4.59%,"1,011",61.01%,541,32.65%,4,0.24%,3,0.18%,0,0.00%,8,0.48%,13,0.78%,"1,657",AA
15,45,15045,34,45.33%,9,12.00%,7,9.33%,21,28.00%,2,2.67%,2,2.67%,75,,16,2.70%,348,58.78%,222,37.50%,1,0.17%,2,0.34%,0,0.00%,0,0.00%,4,0.68%,592,AA
15,46,15046,66,70.97%,2,2.15%,18,19.35%,5,5.38%,0,0.00%,2,2.15%,93,,3,0.52%,562,96.90%,8,1.38%,0,0.00%,0,0.00%,0,0.00%,1,0.17%,6,1.03%,580,AA
15,47,15047,122,64.89%,1,0.53%,36,19.15%,20,10.64%,6,3.19%,3,1.60%,188,,1,0.14%,706,95.66%,24,3.25%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.68%,738,AA
15,48,15048,72,64.86%,7,6.31%,11,9.91%,15,13.51%,5,4.50%,1,0.90%,111,,22,2.75%,469,58.70%,300,37.55%,1,0.13%,3,0.38%,0,0.00%,1,0.13%,5,0.63%,799,AA
15,49,15049,49,44.55%,5,4.55%,12,10.91%,40,36.36%,4,3.64%,0,0.00%,110,,33,2.85%,355,30.66%,758,65.46%,4,0.35%,1,0.09%,0,0.00%,3,0.26%,4,0.35%,"1,158",Hisp
15,50,15050,82,55.41%,5,3.38%,35,23.65%,19,12.84%,5,3.38%,2,1.35%,148,,12,2.02%,369,62.23%,205,34.57%,2,0.34%,0,0.00%,0,0.00%,1,0.17%,3,0.51%,593,AA
15,51,15051,55,53.92%,0,0.00%,30,29.41%,10,9.80%,2,1.96%,2,1.96%,102,,2,0.39%,504,97.11%,6,1.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.96%,519,AA
15,52,15052,61,52.59%,1,0.86%,32,27.59%,12,10.34%,5,4.31%,5,4.31%,116,,1,0.26%,377,96.17%,9,2.30%,0,0.00%,1,0.26%,0,0.00%,0,0.00%,3,0.77%,392,AA
16,1,16001,43,48.86%,9,10.23%,15,17.05%,19,21.59%,1,1.14%,1,1.14%,88,,73,3.63%,408,20.29%,"1,495",74.34%,10,0.50%,9,0.45%,0,0.00%,5,0.25%,11,0.55%,"2,011",Hisp
16,2,16002,68,62.96%,5,4.63%,26,24.07%,7,6.48%,3,2.78%,0,0.00%,108,,7,1.11%,420,66.56%,197,31.22%,0,0.00%,0,0.00%,1,0.16%,0,0.00%,6,0.95%,631,AA
16,3,16003,100,63.69%,3,1.91%,40,25.48%,5,3.18%,7,4.46%,2,1.27%,157,,1,0.14%,704,98.32%,9,1.26%,0,0.00%,0,0.00%,1,0.14%,1,0.14%,2,0.28%,716,AA
16,4,16004,30,25.64%,18,15.38%,10,8.55%,57,48.72%,0,0.00%,2,1.71%,117,,87,4.08%,308,14.45%,"1,723",80.82%,7,0.33%,1,0.05%,0,0.00%,1,0.05%,8,0.38%,"2,132",Hisp
16,5,16005,74,47.74%,5,3.23%,56,36.13%,11,7.10%,7,4.52%,2,1.29%,155,,0,0.00%,630,96.18%,16,2.44%,1,0.15%,0,0.00%,0,0.00%,0,0.00%,8,1.22%,655,AA
16,6,16006,36,56.25%,4,6.25%,14,21.88%,8,12.50%,2,3.13%,0,0.00%,64,,42,2.56%,335,20.40%,"1,253",76.31%,4,0.24%,2,0.12%,0,0.00%,2,0.12%,5,0.30%,"1,642",Hisp
16,7,16007,67,46.53%,7,4.86%,39,27.08%,23,15.97%,7,4.86%,3,2.08%,144,,34,2.34%,672,46.28%,732,50.41%,2,0.14%,1,0.07%,1,0.07%,2,0.14%,7,0.48%,"1,452",Hisp
16,8,16008,96,64.86%,8,5.41%,19,12.84%,23,15.54%,1,0.68%,1,0.68%,148,,6,0.52%,798,69.21%,341,29.58%,0,0.00%,1,0.09%,0,0.00%,0,0.00%,6,0.52%,"1,153",AA
16,9,16009,109,56.48%,3,1.55%,51,26.42%,14,7.25%,10,5.18%,6,3.11%,193,,1,0.13%,757,97.43%,10,1.29%,1,0.13%,0,0.00%,0,0.00%,0,0.00%,5,0.64%,777,AA
16,10,16010,120,56.87%,5,2.37%,54,25.59%,13,6.16%,7,3.32%,12,5.69%,211,,10,0.65%,"1,178",76.39%,345,22.37%,0,0.00%,4,0.26%,0,0.00%,0,0.00%,5,0.32%,"1,542",AA
16,11,16011,85,48.57%,11,6.29%,32,18.29%,35,20.00%,8,4.57%,4,2.29%,175,,34,2.57%,270,20.44%,"1,008",76.31%,3,0.23%,1,0.08%,0,0.00%,1,0.08%,4,0.30%,"1,321",Hisp
16,12,16012,58,60.42%,4,4.17%,20,20.83%,12,12.50%,2,2.08%,0,0.00%,96,,7,1.28%,460,84.10%,75,13.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.73%,547,AA
16,13,16013,50,31.85%,20,12.74%,7,4.46%,76,48.41%,3,1.91%,1,0.64%,157,,53,3.78%,324,23.13%,"1,012",72.23%,3,0.21%,1,0.07%,1,0.07%,4,0.29%,5,0.36%,"1,401",Hisp
16,14,16014,86,56.58%,2,1.32%,51,33.55%,9,5.92%,2,1.32%,2,1.32%,152,,4,0.43%,892,95.91%,20,2.15%,1,0.11%,2,0.22%,0,0.00%,0,0.00%,9,0.97%,930,AA
16,15,16015,89,57.42%,2,1.29%,40,25.81%,18,11.61%,4,2.58%,2,1.29%,155,,4,0.67%,578,97.31%,8,1.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.67%,594,AA
16,16,16016,90,58.06%,2,1.29%,40,25.81%,14,9.03%,7,4.52%,2,1.29%,155,,9,1.11%,752,92.61%,39,4.80%,0,0.00%,3,0.37%,0,0.00%,2,0.25%,7,0.86%,812,AA
16,17,16017,55,35.71%,21,13.64%,4,2.60%,73,47.40%,0,0.00%,1,0.65%,154,,100,6.60%,76,5.01%,"1,331",87.80%,2,0.13%,1,0.07%,0,0.00%,1,0.07%,4,0.26%,"1,516",Hisp
16,18,16018,97,61.78%,4,2.55%,37,23.57%,10,6.37%,4,2.55%,4,2.55%,157,,20,1.21%,"1,442",87.39%,169,10.24%,0,0.00%,2,0.12%,0,0.00%,1,0.06%,14,0.85%,"1,650",AA
16,19,16019,108,60.34%,4,2.23%,38,21.23%,22,12.29%,3,1.68%,2,1.12%,179,,7,0.44%,"1,065",66.40%,519,32.36%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,0.69%,"1,604",AA
16,20,16020,67,52.34%,4,3.13%,43,33.59%,11,8.59%,2,1.56%,1,0.78%,128,,2,0.44%,437,95.83%,10,2.19%,1,0.22%,1,0.22%,0,0.00%,0,0.00%,5,1.10%,456,AA
16,21,16021,56,31.64%,33,18.64%,3,1.69%,85,48.02%,0,0.00%,0,0.00%,177,,28,2.55%,224,20.40%,838,76.32%,2,0.18%,1,0.09%,0,0.00%,1,0.09%,3,0.27%,"1,098",Hisp
16,22,16022,72,60.50%,0,0.00%,31,26.05%,10,8.40%,4,3.36%,2,1.68%,119,,2,0.46%,422,96.13%,9,2.05%,1,0.23%,1,0.23%,0,0.00%,0,0.00%,5,1.14%,439,AA
16,23,16023,41,30.60%,26,19.40%,6,4.48%,57,42.54%,2,1.49%,2,1.49%,134,,28,2.55%,224,20.40%,838,76.32%,2,0.18%,1,0.09%,0,0.00%,1,0.09%,3,0.27%,"1,098",Hisp
16,24,16024,49,58.33%,2,2.38%,23,27.38%,5,5.95%,4,4.76%,1,1.19%,84,,1,0.68%,143,96.62%,2,1.35%,1,0.68%,0,0.00%,0,0.00%,0,0.00%,1,0.68%,148,AA
16,25,16025,70,63.64%,5,4.55%,21,19.09%,9,8.18%,3,2.73%,2,1.82%,110,,2,0.27%,722,96.78%,8,1.07%,1,0.13%,2,0.27%,0,0.00%,0,0.00%,11,1.47%,746,AA
16,26,16026,84,55.63%,2,1.32%,45,29.80%,13,8.61%,6,3.97%,1,0.66%,151,,4,0.54%,721,97.43%,9,1.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.54%,740,AA
16,27,16027,146,59.59%,7,2.86%,55,22.45%,20,8.16%,10,4.08%,7,2.86%,245,,2,0.23%,831,97.19%,10,1.17%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,12,1.40%,855,AA
16,28,16028,88,50.00%,5,2.84%,56,31.82%,13,7.39%,4,2.27%,8,4.55%,176,,4,0.56%,697,97.21%,8,1.12%,0,0.00%,2,0.28%,0,0.00%,0,0.00%,7,0.98%,717,AA
16,29,16029,65,62.50%,3,2.88%,18,17.31%,10,9.62%,6,5.77%,2,1.92%,104,,4,0.95%,345,82.34%,62,14.80%,0,0.00%,1,0.24%,0,0.00%,2,0.48%,4,0.95%,419,AA
16,30,16030,69,61.61%,7,6.25%,25,22.32%,7,6.25%,4,3.57%,0,0.00%,112,,8,1.31%,512,84.07%,84,13.79%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.82%,609,AA
16,31,16031,112,64.00%,4,2.29%,37,21.14%,16,9.14%,4,2.29%,2,1.14%,175,,1,0.16%,596,97.39%,8,1.31%,0,0.00%,2,0.33%,0,0.00%,0,0.00%,5,0.82%,612,AA
16,32,16032,55,32.35%,25,14.71%,2,1.18%,88,51.76%,0,0.00%,0,0.00%,170,,75,4.22%,106,5.96%,"1,586",89.20%,4,0.22%,1,0.06%,0,0.00%,1,0.06%,7,0.39%,"1,778",Hisp
16,33,16033,60,59.41%,5,4.95%,21,20.79%,12,11.88%,2,1.98%,1,0.99%,101,,2,0.50%,385,96.73%,7,1.76%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,3,0.75%,398,AA
16,34,16034,77,63.64%,4,3.31%,27,22.31%,5,4.13%,5,4.13%,3,2.48%,121,,0,0.00%,917,98.18%,10,1.07%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.32%,934,AA
16,35,16035,57,33.73%,24,14.20%,11,6.51%,74,43.79%,2,1.18%,1,0.59%,169,,63,3.04%,468,22.57%,"1,522",73.38%,8,0.39%,2,0.10%,0,0.00%,6,0.29%,6,0.29%,"2,074",Hisp
16,36,16036,85,57.82%,1,0.68%,35,23.81%,10,6.80%,15,10.20%,1,0.68%,147,,1,0.19%,506,96.56%,8,1.53%,0,0.00%,2,0.38%,0,0.00%,0,0.00%,6,1.15%,524,AA
16,37,16037,42,56.00%,3,4.00%,20,26.67%,5,6.67%,2,2.67%,3,4.00%,75,,1,0.19%,505,96.56%,8,1.53%,0,0.00%,2,0.38%,0,0.00%,0,0.00%,6,1.15%,523,AA
16,38,16038,71,64.55%,2,1.82%,22,20.00%,10,9.09%,2,1.82%,2,1.82%,110,,2,0.24%,798,96.96%,13,1.58%,0,0.00%,1,0.12%,0,0.00%,0,0.00%,6,0.73%,823,AA
16,39,16039,74,38.54%,26,13.54%,5,2.60%,85,44.27%,1,0.52%,0,0.00%,192,,119,5.41%,232,10.54%,"1,834",83.33%,5,0.23%,2,0.09%,0,0.00%,3,0.14%,6,0.27%,"2,201",Hisp
16,40,16040,80,48.48%,8,4.85%,56,33.94%,11,6.67%,7,4.24%,3,1.82%,165,,2,0.30%,658,97.34%,10,1.48%,2,0.30%,0,0.00%,0,0.00%,1,0.15%,5,0.74%,676,AA
16,41,16041,33,44.00%,3,4.00%,30,40.00%,8,10.67%,0,0.00%,1,1.33%,75,,1,0.30%,320,97.56%,4,1.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,1.22%,328,AA
16,42,16042,41,24.55%,27,16.17%,3,1.80%,93,55.69%,2,1.20%,0,0.00%,167,,86,3.25%,204,7.70%,"2,338",88.23%,6,0.23%,0,0.00%,0,0.00%,3,0.11%,12,0.45%,"2,650",Hisp
16,43,16043,82,51.25%,2,1.25%,57,35.63%,11,6.88%,6,3.75%,2,1.25%,160,,1,0.15%,640,97.41%,7,1.07%,1,0.15%,0,0.00%,0,0.00%,0,0.00%,7,1.07%,657,AA
16,44,16044,79,52.67%,12,8.00%,21,14.00%,28,18.67%,8,5.33%,2,1.33%,150,,34,2.07%,"1,025",62.27%,569,34.57%,5,0.30%,1,0.06%,0,0.00%,3,0.18%,9,0.55%,"1,646",AA
17,1,17001,62,59.05%,4,3.81%,26,24.76%,8,7.62%,3,2.86%,2,1.90%,105,,3,0.40%,728,97.46%,7,0.94%,0,0.00%,4,0.54%,0,0.00%,0,0.00%,6,0.80%,747,AA
17,2,17002,95,54.60%,8,4.60%,49,28.16%,9,5.17%,6,3.45%,7,4.02%,174,,7,0.63%,"1,061",96.11%,18,1.63%,0,0.00%,5,0.45%,0,0.00%,1,0.09%,8,0.72%,"1,104",AA
17,3,17003,73,55.30%,3,2.27%,43,32.58%,9,6.82%,3,2.27%,1,0.76%,132,,1,0.19%,505,98.25%,4,0.78%,0,0.00%,1,0.19%,0,0.00%,0,0.00%,3,0.58%,514,AA
17,4,17004,172,63.00%,5,1.83%,56,20.51%,22,8.06%,13,4.76%,5,1.83%,273,,2,0.29%,682,97.71%,6,0.86%,1,0.14%,1,0.14%,0,0.00%,1,0.14%,5,0.72%,698,AA
17,5,17005,90,61.22%,3,2.04%,32,21.77%,12,8.16%,10,6.80%,0,0.00%,147,,2,0.29%,667,96.11%,15,2.16%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,1.01%,694,AA
17,6,17006,94,70.68%,1,0.75%,31,23.31%,6,4.51%,0,0.00%,1,0.75%,133,,1,0.23%,428,97.27%,4,0.91%,0,0.00%,1,0.23%,0,0.00%,0,0.00%,6,1.36%,440,AA
17,7,17007,121,60.80%,5,2.51%,40,20.10%,21,10.55%,8,4.02%,4,2.01%,199,,3,0.36%,812,97.48%,9,1.08%,2,0.24%,1,0.12%,0,0.00%,0,0.00%,6,0.72%,833,AA
17,8,17008,91,65.47%,3,2.16%,30,21.58%,7,5.04%,4,2.88%,4,2.88%,139,,2,0.51%,382,97.45%,3,0.77%,0,0.00%,2,0.51%,0,0.00%,0,0.00%,3,0.77%,392,AA
17,9,17009,76,56.30%,5,3.70%,31,22.96%,8,5.93%,10,7.41%,5,3.70%,135,,1,0.18%,554,98.23%,4,0.71%,0,0.00%,1,0.18%,0,0.00%,0,0.00%,3,0.53%,564,AA
17,10,17010,102,57.30%,5,2.81%,38,21.35%,20,11.24%,8,4.49%,5,2.81%,178,,1,0.15%,654,97.90%,7,1.05%,0,0.00%,1,0.15%,0,0.00%,0,0.00%,4,0.60%,668,AA
17,11,17011,95,55.88%,2,1.18%,42,24.71%,22,12.94%,7,4.12%,2,1.18%,170,,1,0.22%,445,96.53%,10,2.17%,0,0.00%,1,0.22%,0,0.00%,0,0.00%,3,0.65%,461,AA
17,12,17012,174,65.66%,6,2.26%,54,20.38%,19,7.17%,8,3.02%,4,1.51%,265,,2,0.25%,784,98.00%,8,1.00%,0,0.00%,1,0.13%,0,0.00%,0,0.00%,4,0.50%,800,AA
17,13,17013,61,55.45%,2,1.82%,35,31.82%,3,2.73%,4,3.64%,5,4.55%,110,,8,0.53%,"1,466",97.09%,14,0.93%,1,0.07%,6,0.40%,0,0.00%,0,0.00%,13,0.86%,"1,510",AA
17,14,17014,102,64.56%,5,3.16%,33,20.89%,11,6.96%,5,3.16%,2,1.27%,158,,3,0.48%,609,96.97%,11,1.75%,0,0.00%,0,0.00%,0,0.00%,1,0.16%,4,0.64%,628,AA
17,15,17015,127,62.56%,4,1.97%,38,18.72%,18,8.87%,8,3.94%,8,3.94%,203,,6,0.46%,"1,283",98.01%,6,0.46%,0,0.00%,1,0.08%,0,0.00%,1,0.08%,12,0.92%,"1,309",AA
17,16,17016,75,58.59%,4,3.13%,31,24.22%,7,5.47%,8,6.25%,3,2.34%,128,,2,0.26%,746,97.26%,7,0.91%,0,0.00%,2,0.26%,0,0.00%,1,0.13%,10,1.30%,767,AA
17,17,17017,54,53.47%,2,1.98%,30,29.70%,11,10.89%,4,3.96%,0,0.00%,101,,2,0.36%,533,97.09%,5,0.91%,0,0.00%,1,0.18%,0,0.00%,0,0.00%,7,1.28%,549,AA
17,18,17018,140,67.31%,4,1.92%,40,19.23%,17,8.17%,6,2.88%,1,0.48%,208,,2,0.21%,947,98.13%,8,0.83%,1,0.10%,3,0.31%,0,0.00%,0,0.00%,4,0.41%,965,AA
17,19,17019,51,67.11%,1,1.32%,16,21.05%,3,3.95%,3,3.95%,2,2.63%,76,,2,0.44%,437,96.90%,7,1.55%,0,0.00%,1,0.22%,0,0.00%,1,0.22%,4,0.89%,451,AA
17,20,17020,90,56.25%,3,1.88%,39,24.38%,18,11.25%,9,5.63%,0,0.00%,160,,1,0.17%,558,96.88%,11,1.91%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,1.04%,576,AA
17,21,17021,160,59.48%,12,4.46%,65,24.16%,19,7.06%,7,2.60%,6,2.23%,269,,1,0.51%,191,96.95%,2,1.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1.02%,197,AA
17,22,17022,113,57.95%,5,2.56%,50,25.64%,13,6.67%,8,4.10%,6,3.08%,195,,3,0.35%,826,97.41%,9,1.06%,2,0.24%,1,0.12%,0,0.00%,1,0.12%,6,0.71%,848,AA
17,23,17023,75,65.22%,3,2.61%,22,19.13%,5,4.35%,7,6.09%,3,2.61%,115,,1,0.22%,445,96.53%,9,1.95%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,1.08%,461,AA
17,24,17024,90,52.02%,5,2.89%,41,23.70%,18,10.40%,17,9.83%,2,1.16%,173,,2,0.29%,675,97.40%,7,1.01%,2,0.29%,1,0.14%,0,0.00%,0,0.00%,5,0.72%,693,AA
17,25,17025,65,57.52%,5,4.42%,18,15.93%,14,12.39%,9,7.96%,2,1.77%,113,,4,0.64%,601,96.78%,8,1.29%,0,0.00%,3,0.48%,0,0.00%,1,0.16%,4,0.64%,621,AA
17,26,17026,125,56.82%,5,2.27%,47,21.36%,25,11.36%,13,5.91%,5,2.27%,220,,3,0.37%,801,97.80%,7,0.85%,1,0.12%,1,0.12%,0,0.00%,1,0.12%,5,0.61%,819,AA
17,27,17027,144,62.34%,6,2.60%,48,20.78%,19,8.23%,11,4.76%,3,1.30%,231,,5,0.38%,"1,290",97.43%,14,1.06%,3,0.23%,2,0.15%,0,0.00%,1,0.08%,9,0.68%,"1,324",AA
17,28,17028,101,60.48%,4,2.40%,32,19.16%,23,13.77%,6,3.59%,1,0.60%,167,,2,0.25%,792,98.14%,6,0.74%,0,0.00%,2,0.25%,0,0.00%,0,0.00%,4,0.50%,807,AA
17,29,17029,101,56.74%,3,1.69%,52,29.21%,12,6.74%,9,5.06%,1,0.56%,178,,2,0.16%,"1,251",97.43%,21,1.64%,1,0.08%,0,0.00%,0,0.00%,1,0.08%,7,0.55%,"1,284",AA
17,30,17030,98,53.26%,4,2.17%,54,29.35%,17,9.24%,9,4.89%,2,1.09%,184,,4,0.34%,"1,132",97.50%,12,1.03%,2,0.17%,1,0.09%,0,0.00%,1,0.09%,8,0.69%,"1,161",AA
17,31,17031,99,62.66%,2,1.27%,39,24.68%,11,6.96%,6,3.80%,1,0.63%,158,,1,0.19%,507,97.50%,7,1.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.96%,520,AA
17,32,17032,125,64.77%,3,1.55%,47,24.35%,5,2.59%,11,5.70%,2,1.04%,193,,2,0.17%,"1,147",96.55%,27,2.27%,0,0.00%,3,0.25%,0,0.00%,1,0.08%,8,0.67%,"1,188",AA
17,33,17033,100,68.97%,5,3.45%,21,14.48%,14,9.66%,2,1.38%,3,2.07%,145,,1,0.25%,393,97.52%,5,1.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0.99%,403,AA
17,34,17034,84,59.15%,1,0.70%,33,23.24%,10,7.04%,13,9.15%,1,0.70%,142,,4,0.73%,535,97.10%,5,0.91%,0,0.00%,4,0.73%,0,0.00%,0,0.00%,4,0.73%,551,AA
17,35,17035,60,55.56%,7,6.48%,25,23.15%,11,10.19%,5,4.63%,0,0.00%,108,,1,0.15%,659,98.36%,3,0.45%,0,0.00%,1,0.15%,1,0.15%,0,0.00%,4,0.60%,670,AA
17,36,17036,68,68.00%,0,0.00%,27,27.00%,2,2.00%,2,2.00%,1,1.00%,100,,2,0.51%,382,97.45%,3,0.77%,0,0.00%,2,0.51%,0,0.00%,0,0.00%,3,0.77%,392,AA
17,37,17037,87,60.84%,2,1.40%,29,20.28%,16,11.19%,6,4.20%,3,2.10%,143,,1,0.20%,480,98.16%,3,0.61%,0,0.00%,1,0.20%,0,0.00%,0,0.00%,3,0.61%,489,AA
17,38,17038,95,64.63%,3,2.04%,39,26.53%,6,4.08%,3,2.04%,1,0.68%,147,,3,0.52%,563,98.08%,2,0.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.87%,574,AA
17,39,17039,97,59.88%,4,2.47%,41,25.31%,13,8.02%,3,1.85%,4,2.47%,162,,3,0.70%,413,96.95%,4,0.94%,0,0.00%,3,0.70%,0,0.00%,0,0.00%,3,0.70%,426,AA
17,40,17040,87,59.59%,2,1.37%,31,21.23%,12,8.22%,8,5.48%,6,4.11%,146,,0,0.00%,296,96.42%,7,2.28%,0,0.00%,1,0.33%,0,0.00%,0,0.00%,2,0.65%,307,AA
17,41,17041,95,74.80%,3,2.36%,24,18.90%,4,3.15%,1,0.79%,0,0.00%,127,,3,0.48%,607,97.43%,5,0.80%,0,0.00%,3,0.48%,0,0.00%,0,0.00%,5,0.80%,623,AA
17,42,17042,77,57.46%,2,1.49%,32,23.88%,7,5.22%,12,8.96%,4,2.99%,134,,3,0.42%,681,95.24%,23,3.22%,1,0.14%,0,0.00%,0,0.00%,0,0.00%,5,0.70%,715,AA
17,43,17043,80,60.61%,4,3.03%,33,25.00%,7,5.30%,3,2.27%,5,3.79%,132,,1,0.15%,640,97.41%,7,1.07%,1,0.15%,0,0.00%,0,0.00%,0,0.00%,7,1.07%,657,AA
17,44,17044,61,49.59%,4,3.25%,35,28.46%,11,8.94%,11,8.94%,1,0.81%,123,,1,0.20%,501,98.43%,3,0.59%,0,0.00%,1,0.20%,1,0.20%,0,0.00%,3,0.59%,509,AA
17,45,17045,65,62.50%,5,4.81%,22,21.15%,7,6.73%,4,3.85%,1,0.96%,104,,2,0.30%,641,97.12%,6,0.91%,0,0.00%,2,0.30%,0,0.00%,1,0.15%,8,1.21%,660,AA
17,46,17046,93,60.78%,3,1.96%,40,26.14%,13,8.50%,1,0.65%,3,1.96%,153,,3,0.42%,690,97.32%,8,1.13%,0,0.00%,2,0.28%,0,0.00%,0,0.00%,5,0.71%,709,AA
17,47,17047,57,53.77%,3,2.83%,28,26.42%,9,8.49%,8,7.55%,1,0.94%,106,,1,0.24%,404,98.30%,3,0.73%,0,0.00%,1,0.24%,0,0.00%,0,0.00%,2,0.49%,411,AA
17,48,17048,90,56.25%,3,1.88%,39,24.38%,11,6.88%,11,6.88%,8,5.00%,160,,3,0.33%,889,97.69%,9,0.99%,0,0.00%,2,0.22%,0,0.00%,0,0.00%,7,0.77%,910,AA
17,49,17049,81,68.64%,2,1.69%,24,20.34%,6,5.08%,3,2.54%,2,1.69%,118,,2,0.30%,641,97.27%,6,0.91%,0,0.00%,2,0.30%,0,0.00%,1,0.15%,8,1.21%,659,AA
17,50,17050,93,57.41%,1,0.62%,37,22.84%,16,9.88%,11,6.79%,4,2.47%,162,,4,0.28%,"1,387",97.68%,14,0.99%,1,0.07%,3,0.21%,1,0.07%,0,0.00%,8,0.56%,"1,420",AA
17,51,17051,113,54.85%,3,1.46%,28,13.59%,11,5.34%,46,22.33%,5,2.43%,206,,2,0.29%,682,97.57%,10,1.43%,0,0.00%,0,0.00%,0,0.00%,1,0.14%,4,0.57%,699,AA
17,52,17052,150,60.00%,6,2.40%,60,24.00%,17,6.80%,15,6.00%,2,0.80%,250,,2,0.35%,562,97.74%,5,0.87%,1,0.17%,1,0.17%,0,0.00%,1,0.17%,4,0.70%,575,AA
17,53,17053,107,59.12%,3,1.66%,47,25.97%,15,8.29%,6,3.31%,3,1.66%,181,,2,0.88%,219,96.48%,3,1.32%,1,0.44%,0,0.00%,0,0.00%,0,0.00%,3,1.32%,227,AA
17,54,17054,146,63.20%,7,3.03%,47,20.35%,23,9.96%,7,3.03%,1,0.43%,231,,1,0.47%,206,96.26%,3,1.40%,1,0.47%,0,0.00%,0,0.00%,0,0.00%,2,0.93%,214,AA
17,55,17055,99,61.49%,4,2.48%,27,16.77%,19,11.80%,9,5.59%,3,1.86%,161,,1,0.15%,654,98.05%,7,1.05%,0,0.00%,1,0.15%,0,0.00%,0,0.00%,4,0.60%,667,AA
17,56,17056,89,54.60%,2,1.23%,47,28.83%,10,6.13%,9,5.52%,6,3.68%,163,,1,0.21%,467,96.49%,12,2.48%,0,0.00%,1,0.21%,0,0.00%,0,0.00%,3,0.62%,484,AA
17,57,17057,116,57.43%,3,1.49%,49,24.26%,26,12.87%,6,2.97%,2,0.99%,202,,1,0.21%,466,96.48%,12,2.48%,0,0.00%,1,0.21%,0,0.00%,0,0.00%,3,0.62%,483,AA
17,58,17058,83,60.58%,6,4.38%,34,24.82%,7,5.11%,7,5.11%,0,0.00%,137,,6,1.06%,528,93.62%,21,3.72%,3,0.53%,1,0.18%,0,0.00%,0,0.00%,4,0.71%,564,AA
17,59,17059,54,61.36%,0,0.00%,19,21.59%,7,7.95%,5,5.68%,3,3.41%,88,,3,0.48%,605,96.80%,8,1.28%,0,0.00%,0,0.00%,0,0.00%,2,0.32%,7,1.12%,625,AA
17,60,17060,163,66.80%,4,1.64%,47,19.26%,14,5.74%,12,4.92%,4,1.64%,244,,20,2.35%,752,88.47%,66,7.76%,3,0.35%,2,0.24%,0,0.00%,1,0.12%,7,0.82%,850,AA
