PRECINCT,WARD,FULL_TEXT,SHAPE_AREA,SHAPE_LEN
14,44,44014,1581454.529490000102669,6275.415312150000318
15,44,44015,503728.829935999994632,3740.795531220000157
16,44,44016,1638487.708259999984875,5292.163407130000451
17,44,44017,652816.864265999989584,3717.341837659999783
19,44,44019,524560.556091999984346,3610.400320879999981
20,44,44020,1626154.139200000092387,6702.680234819999896
21,44,44021,1031165.174750000005588,4165.796852370000124
22,44,44022,512667.1352659999975,3593.309883110000101
23,44,44023,588615.158672000048682,3402.988763939999899
24,44,44024,276943.15162199997576,2242.452438580000035
25,44,44025,1456591.433939999900758,5763.097115149999809
26,44,44026,1324131.166789999930188,5375.648897600000055
27,44,44027,1347715.59266999992542,5635.73865670000032
29,44,44029,1313419.803940000012517,4627.207551059999787
15,11,11015,658501.74809600005392,3325.355582770000183
31,44,44031,3245906.758369999937713,9136.565079930000138
32,44,44032,1778772.81105999997817,6306.157072429999971
33,44,44033,1102429.829609999898821,4308.171266199999991
35,44,44035,469984.414744000008795,2777.128155580000112
36,44,44036,1073296.064349999884143,5259.595579359999647
37,44,44037,1319259.50109999999404,4635.98838177000016
38,44,44038,1741165.827389999991283,5567.100424459999886
39,44,44039,1211434.664460000116378,5315.489622140000392
40,44,44040,1309317.669340000022203,4626.163264830000116
41,44,44041,638124.331571000046097,3702.834167479999905
34,44,44034,1017184.844780000043102,5404.907456160000038
30,44,44030,1753551.583970000036061,5296.237641660000008
28,44,44028,554523.369859999977052,4056.333059510000112
18,44,44018,1220045.896080000093207,4986.785510560000148
13,44,44013,1340188.617679999908432,5574.920102879999831
44,2,02044,250148.805342000006931,2564.513060639999821
2,44,44002,1558538.794590000063181,5293.351125600000159
1,46,46001,683598.5342070000479,3450.31455343000016
4,46,46004,982810.612920999992639,5430.565713879999748
5,46,46005,1399448.651749999960884,5023.722435280000354
6,46,46006,1650663.070710000116378,5981.204563600000256
7,46,46007,144896.551838000013959,1552.412378929999932
8,46,46008,514812.100939000025392,5741.504664310000408
9,46,46009,819167.275531999999657,4132.245469579999735
10,46,46010,1462487.590570000000298,5964.771351989999857
12,46,46012,1068501.675890000071377,4791.681516890000239
13,46,46013,540917.906634000013582,3194.085140390000106
15,46,46015,765536.987454000045545,3688.508895790000224
16,46,46016,1318754.872359999921173,5631.894885140000042
17,46,46017,541258.33280500001274,3807.333552470000086
18,46,46018,220667.464776000007987,1965.358803710000075
20,46,46020,2082126.267280000029132,7003.041606189999584
22,46,46022,443998.327294000016991,3288.173434780000207
23,46,46023,653087.900202000048012,3307.873007579999921
24,46,46024,467540.063662000000477,3283.902247089999946
25,46,46025,879318.329033000045456,4515.403721280000354
26,46,46026,866967.83226499997545,4666.28696342999956
27,46,46027,6228814.762260000221431,11068.096867099999145
28,46,46028,397884.274355000001378,2872.148936179999964
29,46,46029,14906959.875199999660254,31465.48122979999971
30,46,46030,611708.094875999959186,3338.96691004000013
31,46,46031,1095805.256400000071153,4847.816695769999569
32,46,46032,853306.910815999959596,3898.540570690000095
33,46,46033,404485.226755000010598,2630.987830290000147
13,43,43013,609683.714800999965519,3588.945803460000207
34,46,46034,1478803.098410000093281,5869.724721810000119
35,46,46035,1071928.005129999946803,7208.681764449999719
36,46,46036,229344.229281999985687,1979.387082199999895
37,46,46037,461590.081615999981295,3553.870296470000085
38,46,46038,935579.219600999960676,4643.888046160000158
39,46,46039,345855.207978999998886,2664.376487500000167
40,46,46040,1080720.866979999933392,4462.342818070000249
21,46,46021,419648.002635999990162,3222.387230740000177
4,50,50004,2119899.833010000176728,6782.729021799999828
19,46,46019,2951051.510030000004917,8029.828056950000246
14,46,46014,433605.755119999987073,2629.884776809999948
3,46,46003,495883.377424000005703,2909.916558349999832
2,46,46002,815375.347370999981649,4326.736357150000003
8,50,50008,2003592.143209999892861,8423.752576540000518
1,50,50001,2124433.935430000070482,6503.886754099999962
2,50,50002,1489644.332070000004023,4880.480061229999592
5,50,50005,2059992.43191000004299,6887.329965750000156
7,50,50007,2660302.304680000059307,6775.224626819999685
9,50,50009,3181918.2779899998568,7161.533120029999736
10,50,50010,2199537.534370000008494,5978.539715160000014
11,50,50011,1700973.350659999996424,5220.519308259999889
12,50,50012,148688.638816999999108,1781.645391410000002
13,50,50013,5620606.174829999916255,11213.412667000000511
15,50,50015,2595981.093109999783337,6575.069209430000228
16,50,50016,408489.749960999994073,2553.36323080000011
17,50,50017,1786233.636600000085309,7142.336265119999553
6,50,50006,1701379.264680000022054,6489.078923750000286
19,50,50019,1760631.742349999956787,6635.399028019999605
20,50,50020,1982074.599589999997988,5638.137451859999601
21,50,50021,1770734.535619999980554,7298.724664190000112
23,50,50023,1847167.18207999994047,5447.246727650000139
26,50,50026,1842247.671610000077635,7161.502850290000424
25,50,50025,5751278.260499999858439,10429.565078300000096
29,50,50029,1736872.76659999997355,5272.623125869999967
27,50,50027,376614.765148999984376,2453.55434570999978
28,50,50028,3628534.525719999801368,8747.102143079999223
18,50,50018,697421.63412399997469,3930.045296220000182
34,3,03034,1025739.595500000054017,4541.339754309999989
31,50,50031,1867416.459599999943748,5967.353062700000009
22,50,50022,1652693.517990000080317,5966.920389859999887
32,50,50032,1874148.441490000113845,6631.363715170000432
35,50,50035,1826429.435830000089481,5475.162156890000006
36,50,50036,1982144.300259999930859,6308.647940240000025
37,50,50037,1491768.39812000002712,4901.954122309999548
38,50,50038,380710.450305000005756,2454.039140740000221
39,50,50039,1899452.911529999924824,5848.423281899999893
33,3,03033,967177.638614999945275,5786.941510429999653
40,50,50040,3165774.110669999849051,7927.455332880000242
33,50,50033,2321839.192280000075698,6160.419975040000281
34,50,50034,2155295.580300000030547,5913.143114100000275
30,50,50030,1752876.221739999949932,5296.880143379999936
24,50,50024,2358444.506349999923259,7777.188843599999927
3,50,50003,2120732.886719999834895,5876.056533910000326
17,3,03017,3053529.544960000086576,9675.454194309999366
18,3,03018,6325469.342380000278354,11538.333842199999708
19,3,03019,1912472.992279999889433,9076.949428629999602
22,3,03022,591378.186349999974482,3164.675584510000135
21,3,03021,888560.382012999965809,5503.088892540000415
26,3,03026,1592598.772480000043288,5628.363420169999699
27,3,03027,1490843.2725700000301,6312.298053210000035
32,3,03032,449809.004283000016585,3101.743410850000146
2,48,48002,1115366.729259999934584,5339.924598409999817
35,3,03035,1963615.242120000068098,7567.859623739999734
39,3,03039,702215.496385999955237,4239.469598710000355
1,3,03001,10473237.026300000026822,15826.71917620000022
2,3,03002,1443847.544999999925494,5243.184052810000139
3,3,03003,3478741.517459999769926,8993.592570400000113
4,3,03004,3228106.632149999961257,8557.142432189999454
5,3,03005,10194217.103800000622869,17865.328263899999001
6,3,03006,1263099.97001999989152,5483.865737699999954
7,3,03007,1130559.475369999883696,7973.587700789999872
8,3,03008,3373399.45378000009805,8631.439508659999774
9,3,03009,2799058.744959999807179,7926.412832680000065
10,3,03010,7749037.13363999966532,17119.170029100001557
11,3,03011,2797167.896850000135601,7819.943515930000103
12,3,03012,1534114.862960000056773,6117.445349800000258
14,3,03014,1441656.274740000022575,6866.36643937000008
15,3,03015,2013644.244949999963865,7051.255076659999759
16,3,03016,9227435.24087000079453,13702.18207749999965
20,3,03020,2977917.588229999877512,7461.07748262000041
23,3,03023,2495053.632209999952465,7974.404615659999763
24,3,03024,5716768.430379999801517,12629.240176100000099
29,3,03029,5389063.525589999742806,10224.926829899999575
30,3,03030,1595000.313779999967664,6130.298630600000251
31,3,03031,2990058.187510000076145,8687.270567249999658
36,3,03036,3071397.317710000090301,10144.22701810000035
37,3,03037,2820537.68838999979198,8098.006692009999824
38,3,03038,931856.802270999993198,4982.474469699999645
41,3,03041,5920928.291930000297725,10299.833142699999371
25,3,03025,534388.892516999971122,3738.663822420000088
13,3,03013,1626161.480920000001788,5615.119888309999624
