"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct"
"202","58.38%","25","346","144","41.62%"
"179","51.73%","26","346","167","48.27%"
"6528","53.44%","","","5688","46.56%"
"184","45.77%","27","402","218","54.23%"
"147","44.82%","28","328","181","55.18%"
"226","63.48%","29","356","130","36.52%"
"253","69.32%","30","365","112","30.68%"
"177","49.44%","31","358","181","50.56%"
"197","53.97%","32","365","168","46.03%"
"168","50.45%","33","333","165","49.55%"
"161","56.29%","34","286","125","43.71%"
"119","56.67%","35","210","91","43.33%"
"183","59.61%","36","307","124","40.39%"
"155","47.84%","37","324","169","52.16%"
"180","47.87%","38","376","196","52.13%"
"42","44.21%","39","95","53","55.79%"
"","%","","Votes Cast","","%"
"234","60.94%","1","384","150","39.06%"
"285","64.48%","2","442","157","35.52%"
"193","56.76%","3","340","147","43.24%"
"308","64.44%","4","478","170","35.56%"
"275","64.25%","5","428","153","35.75%"
"372","74.40%","6","500","128","25.60%"
"326","69.36%","7","470","144","30.64%"
"255","60.00%","8","425","170","40.00%"
"220","56.27%","9","391","171","43.73%"
"320","68.52%","10","467","147","31.48%"
"271","60.90%","11","445","174","39.10%"
"238","61.50%","12","387","149","38.50%"
"266","59.91%","13","444","178","40.09%"
"352","73.79%","14","477","125","26.21%"
"298","62.47%","15","477","179","37.53%"
"223","59.79%","16","373","150","40.21%"
"284","68.43%","17","415","131","31.57%"
"232","62.03%","18","374","142","37.97%"
"290","66.21%","19","438","148","33.79%"
"218","66.26%","20","329","111","33.74%"
"276","70.77%","21","390","114","29.23%"
"253","59.39%","22","426","173","40.61%"
"281","66.90%","23","420","139","33.10%"
"228","61.79%","24","369","141","38.21%"
"","%","","Votes Cast","","%"
"117","57.64%","25","203","86","42.36%"
"255","60.00%","26","425","170","40.00%"
"184","66.67%","27","276","92","33.33%"
"152","57.79%","28","263","111","42.21%"
"150","70.09%","29","214","64","29.91%"
"236","58.71%","30","402","166","41.29%"
"325","71.27%","31","456","131","28.73%"
"12007","63.96%","","","6766","36.04%"
"199","63.38%","32","314","115","36.62%"
"213","60.17%","33","354","141","39.83%"
"231","65.44%","34","353","122","34.56%"
"285","62.36%","35","457","172","37.64%"
"242","61.11%","36","396","154","38.89%"
"273","62.33%","37","438","165","37.67%"
"195","55.87%","38","349","154","44.13%"
"275","66.11%","39","416","141","33.89%"
"299","64.16%","40","466","167","35.84%"
"282","65.89%","41","428","146","34.11%"
"269","64.20%","42","419","150","35.80%"
"269","65.13%","43","413","144","34.87%"
"321","70.55%","44","455","134","29.45%"
"200","58.31%","45","343","143","41.69%"
"282","63.23%","46","446","164","36.77%"
"255","64.07%","47","398","143","35.93%"
"","%","","Votes Cast","","%"
"383","91.41%","1","419","36","8.59%"
"202","77.10%","2","262","60","22.90%"
"199","77.73%","3","256","57","22.27%"
"388","83.80%","4","463","75","16.20%"
"235","93.63%","5","251","16","6.37%"
"341","76.29%","6","447","106","23.71%"
"385","88.30%","7","436","51","11.70%"
"289","83.29%","8","347","58","16.71%"
"245","77.78%","9","315","70","22.22%"
"242","84.32%","10","287","45","15.68%"
"226","79.86%","11","283","57","20.14%"
"271","86.86%","12","312","41","13.14%"
"338","78.60%","13","430","92","21.40%"
"268","89.93%","14","298","30","10.07%"
"209","89.32%","15","234","25","10.68%"
"238","78.55%","16","303","65","21.45%"
"300","91.19%","17","329","29","8.81%"
"210","84.68%","18","248","38","15.32%"
"393","90.76%","19","433","40","9.24%"
"209","87.45%","20","239","30","12.55%"
"194","78.54%","21","247","53","21.46%"
"","%","","Votes Cast","","%"
"167","92.27%","22","181","14","7.73%"
"280","90.32%","23","310","30","9.68%"
"318","85.71%","24","371","53","14.29%"
"289","83.77%","25","345","56","16.23%"
"300","86.21%","26","348","48","13.79%"
"220","74.83%","27","294","74","25.17%"
"333","78.54%","28","424","91","21.46%"
"11504","84.93%","","","2041","15.07%"
"265","88.04%","29","301","36","11.96%"
"328","88.89%","30","369","41","11.11%"
"293","89.06%","31","329","36","10.94%"
"227","89.02%","32","255","28","10.98%"
"245","78.53%","33","312","67","21.47%"
"369","92.02%","34","401","32","7.98%"
"347","82.42%","35","421","74","17.58%"
"285","84.32%","36","338","53","15.68%"
"185","92.50%","37","200","15","7.50%"
"264","89.49%","38","295","31","10.51%"
"226","86.92%","39","260","34","13.08%"
"280","87.50%","40","320","40","12.50%"
"228","79.72%","41","286","58","20.28%"
"290","83.82%","42","346","56","16.18%"
"","%","","Votes Cast","","%"
"166","77.21%","1","215","49","22.79%"
"301","86.25%","2","349","48","13.75%"
"365","88.81%","3","411","46","11.19%"
"310","89.86%","4","345","35","10.14%"
"238","88.48%","5","269","31","11.52%"
"204","80.63%","6","253","49","19.37%"
"208","80.62%","7","258","50","19.38%"
"241","81.42%","8","296","55","18.58%"
"355","81.80%","9","434","79","18.20%"
"348","85.71%","10","406","58","14.29%"
"245","85.37%","11","287","42","14.63%"
"187","85.00%","12","220","33","15.00%"
"241","76.03%","13","317","76","23.97%"
"364","90.32%","14","403","39","9.68%"
"280","82.11%","15","341","61","17.89%"
"264","82.24%","16","321","57","17.76%"
"255","88.24%","17","289","34","11.76%"
"329","86.13%","18","382","53","13.87%"
"316","82.08%","19","385","69","17.92%"
"307","78.12%","20","393","86","21.88%"
"296","77.49%","21","382","86","22.51%"
"157","76.59%","22","205","48","23.41%"
"151","81.18%","23","186","35","18.82%"
"","%","","Votes Cast","","%"
"203","82.52%","24","246","43","17.48%"
"252","82.08%","25","307","55","17.92%"
"248","87.02%","26","285","37","12.98%"
"286","84.87%","27","337","51","15.13%"
"374","87.38%","28","428","54","12.62%"
