"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct","property10","property7","property8","property9"
"12178","64.08%","","","6479","34.09%","0.62%","228","1.20%","118"
"309","74.28%","34","416","96","23.08%","0.72%","8","1.92%","3"
"339","71.37%","35","475","129","27.16%","0.42%","5","1.05%","2"
"285","69.85%","36","408","118","28.92%","0.25%","4","0.98%","1"
"314","69.93%","37","449","124","27.62%","0.00%","11","2.45%","0"
"265","63.25%","38","419","147","35.08%","0.95%","3","0.72%","4"
"343","68.60%","39","500","149","29.80%","0.40%","6","1.20%","2"
"286","66.20%","40","432","138","31.94%","0.23%","7","1.62%","1"
"323","71.15%","41","454","123","27.09%","0.44%","6","1.32%","2"
"","%","","Votes Cast","","%","%","","%",""
"363","73.78%","1","492","112","22.76%","1.22%","11","2.24%","6"
"286","57.20%","2","500","206","41.20%","0.20%","7","1.40%","1"
"188","51.37%","3","366","176","48.09%","0.00%","2","0.55%","0"
"262","56.71%","4","462","195","42.21%","0.65%","2","0.43%","3"
"342","67.99%","5","503","152","30.22%","0.80%","5","0.99%","4"
"346","75.22%","6","460","106","23.04%","0.65%","5","1.09%","3"
"316","75.96%","7","416","90","21.63%","0.72%","7","1.68%","3"
"329","75.98%","8","433","97","22.40%","1.15%","2","0.46%","5"
"340","75.06%","9","453","103","22.74%","0.88%","6","1.32%","4"
"178","86.83%","10","205","24","11.71%","0.00%","3","1.46%","0"
"325","73.36%","11","443","109","24.60%","0.45%","7","1.58%","2"
"299","56.10%","12","533","223","41.84%","0.19%","10","1.88%","1"
"301","70.00%","13","430","125","29.07%","0.47%","2","0.47%","2"
"305","68.23%","14","447","128","28.64%","1.12%","9","2.01%","5"
"352","49.65%","15","709","355","50.07%","0.14%","1","0.14%","1"
"319","78.96%","16","404","74","18.32%","1.73%","4","0.99%","7"
"324","55.67%","17","582","246","42.27%","1.03%","6","1.03%","6"
"343","73.29%","18","468","117","25.00%","0.85%","4","0.85%","4"
"344","71.82%","19","479","117","24.43%","1.67%","10","2.09%","8"
"259","54.41%","20","476","210","44.12%","0.00%","7","1.47%","0"
"242","56.54%","21","428","178","41.59%","1.17%","3","0.70%","5"
"279","74.60%","22","374","89","23.80%","0.80%","3","0.80%","3"
"311","61.95%","23","502","178","35.46%","1.20%","7","1.39%","6"
"","%","","Votes Cast","","%","%","","%",""
"349","71.81%","24","486","127","26.13%","0.82%","6","1.23%","4"
"291","76.18%","25","382","76","19.90%","2.62%","5","1.31%","10"
"225","57.11%","26","394","162","41.12%","0.76%","4","1.02%","3"
"52","64.20%","27","81","28","34.57%","1.23%","0","0.00%","1"
"429","80.19%","28","535","88","16.45%","1.12%","12","2.24%","6"
"214","84.25%","29","254","35","13.78%","1.18%","2","0.79%","3"
"432","83.72%","30","516","68","13.18%","2.33%","4","0.78%","12"
"328","78.10%","31","420","87","20.71%","0.48%","3","0.71%","2"
"255","56.54%","32","451","190","42.13%","0.44%","4","0.89%","2"
"463","70.80%","33","654","173","26.45%","1.53%","8","1.22%","10"
"394","76.65%","34","514","108","21.01%","1.36%","5","0.97%","7"
"351","76.97%","35","456","96","21.05%","1.32%","3","0.66%","6"
"301","64.45%","36","467","162","34.69%","0.64%","1","0.21%","3"
"13545","67.63%","","","6092","30.42%","0.89%","212","1.06%","179"
"300","60.48%","37","496","183","36.90%","1.01%","8","1.61%","5"
"186","71.26%","38","261","74","28.35%","0.00%","1","0.38%","0"
"355","68.67%","39","517","160","30.95%","0.19%","1","0.19%","1"
"310","59.85%","40","518","192","37.07%","0.77%","12","2.32%","4"
"345","58.08%","41","594","240","40.40%","0.67%","5","0.84%","4"
"209","51.10%","42","409","199","48.66%","0.24%","0","0.00%","1"
"120","71.43%","43","168","45","26.79%","0.60%","2","1.19%","1"
"479","81.74%","44","586","94","16.04%","2.05%","1","0.17%","12"
"204","67.11%","45","304","95","31.25%","0.99%","2","0.66%","3"
"","%","","Votes Cast","","%","%","","%",""
"333","78.17%","1","426","85","19.95%","0.94%","4","0.94%","4"
"352","77.53%","2","454","86","18.94%","1.98%","7","1.54%","9"
"498","83.00%","3","600","82","13.67%","1.67%","10","1.67%","10"
"242","83.16%","4","291","46","15.81%","0.00%","3","1.03%","0"
