"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct","property10","property7","property8","property9"
"439","75.82%","4","579","131","22.63%","0.00%","9","1.55%","0"
"495","78.70%","5","629","125","19.87%","0.64%","5","0.79%","4"
"606","76.90%","6","788","159","20.18%","0.89%","16","2.03%","7"
"308","65.81%","7","468","150","32.05%","0.85%","6","1.28%","4"
"567","77.04%","8","736","146","19.84%","0.95%","16","2.17%","7"
"395","65.51%","9","603","193","32.01%","1.00%","9","1.49%","6"
"420","64.52%","10","651","204","31.34%","0.92%","21","3.23%","6"
"457","70.20%","11","651","182","27.96%","0.61%","8","1.23%","4"
"550","80.41%","12","684","121","17.69%","0.73%","8","1.17%","5"
"316","63.84%","13","495","166","33.54%","1.21%","7","1.41%","6"
"385","68.63%","14","561","157","27.99%","0.53%","16","2.85%","3"
"463","75.90%","15","610","124","20.33%","1.64%","13","2.13%","10"
"493","70.83%","16","696","192","27.59%","0.57%","7","1.01%","4"
"638","79.85%","17","799","142","17.77%","0.75%","13","1.63%","6"
"478","70.09%","18","682","189","27.71%","0.59%","11","1.61%","4"
"527","76.27%","19","691","149","21.56%","1.16%","7","1.01%","8"
"447","75.00%","20","596","129","21.64%","1.34%","12","2.01%","8"
"566","77.64%","21","729","130","17.83%","1.65%","21","2.88%","12"
"","%","","Votes Cast","","%","%","","%",""
"501","77.80%","22","644","132","20.50%","1.40%","2","0.31%","9"
"475","74.80%","23","635","142","22.36%","0.94%","12","1.89%","6"
"368","76.51%","24","481","107","22.25%","1.25%","0","0.00%","6"
"448","72.03%","25","622","166","26.69%","0.48%","5","0.80%","3"
"484","77.94%","26","621","118","19.00%","0.97%","13","2.09%","6"
"483","68.12%","27","709","207","29.20%","0.99%","12","1.69%","7"
"513","79.29%","28","647","123","19.01%","0.93%","5","0.77%","6"
"491","68.58%","29","716","201","28.07%","0.98%","17","2.37%","7"
"499","69.99%","30","713","201","28.19%","0.14%","12","1.68%","1"
"396","68.99%","31","574","158","27.53%","1.05%","14","2.44%","6"
"471","67.00%","32","703","213","30.30%","1.14%","11","1.56%","8"
"513","83.96%","33","611","69","11.29%","2.13%","16","2.62%","13"
"19490","73.24%","","","6442","24.21%","0.88%","444","1.67%","234"
"529","78.72%","34","672","128","19.05%","0.30%","13","1.93%","2"
"546","74.69%","35","731","170","23.26%","0.68%","10","1.37%","5"
"510","74.34%","36","686","159","23.18%","0.58%","13","1.90%","4"
"510","76.81%","37","664","134","20.18%","1.05%","13","1.96%","7"
"435","68.40%","38","636","181","28.46%","0.47%","17","2.67%","3"
"369","62.02%","39","595","210","35.29%","0.67%","12","2.02%","4"
"392","65.22%","40","601","198","32.95%","0.67%","7","1.16%","4"
"552","78.30%","41","705","130","18.44%","1.42%","13","1.84%","10"
"","%","","Votes Cast","","%","%","","%",""
"293","78.55%","1","373","71","19.03%","0.54%","7","1.88%","2"
"339","83.70%","2","405","49","12.10%","1.48%","11","2.72%","6"
"323","77.64%","3","416","84","20.19%","0.72%","6","1.44%","3"
"403","73.14%","4","551","136","24.68%","1.27%","5","0.91%","7"
"367","72.53%","5","506","125","24.70%","0.79%","10","1.98%","4"
"423","75.00%","6","564","119","21.10%","1.42%","14","2.48%","8"
"443","72.39%","7","612","153","25.00%","1.14%","9","1.47%","7"
"368","73.31%","8","502","124","24.70%","0.60%","7","1.39%","3"
"375","74.70%","9","502","112","22.31%","1.59%","7","1.39%","8"
"345","73.72%","10","468","114","24.36%","0.85%","5","1.07%","4"
"284","78.89%","11","360","66","18.33%","1.11%","6","1.67%","4"
"312","75.73%","12","412","90","21.84%","1.46%","4","0.97%","6"
"302","72.60%","13","416","106","25.48%","1.44%","2","0.48%","6"
"444","75.25%","14","590","135","22.88%","1.19%","4","0.68%","7"
"447","75.51%","15","592","128","21.62%","0.84%","12","2.03%","5"
"314","70.09%","16","448","120","26.79%","1.56%","7","1.56%","7"
"342","66.54%","17","514","162","31.52%","0.39%","8","1.56%","2"
"314","62.55%","18","502","176","35.06%","0.40%","10","1.99%","2"
"338","66.67%","19","507","156","30.77%","0.79%","9","1.78%","4"
"341","67.79%","20","503","155","30.82%","0.80%","3","0.60%","4"
"347","61.42%","21","565","206","36.46%","0.18%","11","1.95%","1"
"329","62.79%","22","524","183","34.92%","1.15%","6","1.15%","6"
"","%","","Votes Cast","","%","%","","%",""
"283","57.87%","23","489","191","39.06%","1.43%","8","1.64%","7"
"322","64.14%","24","502","168","33.47%","0.60%","9","1.79%","3"
"256","57.53%","25","445","182","40.90%","1.12%","2","0.45%","5"
"275","57.77%","26","476","192","40.34%","0.42%","7","1.47%","2"
"277","58.81%","27","471","188","39.92%","0.21%","5","1.06%","1"
"263","53.46%","28","492","219","44.51%","0.61%","7","1.42%","3"
"289","58.62%","29","493","197","39.96%","0.00%","7","1.42%","0"
"288","73.85%","30","390","93","23.85%","1.54%","3","0.77%","6"
"268","68.72%","31","390","110","28.21%","1.28%","7","1.79%","5"
"291","70.98%","32","410","111","27.07%","1.22%","3","0.73%","5"
"226","70.85%","33","319","90","28.21%","0.31%","2","0.63%","1"
"319","69.50%","34","459","130","28.32%","1.09%","5","1.09%","5"
"331","63.29%","35","523","173","33.08%","1.53%","11","2.10%","8"
"14084","67.79%","","","6207","29.88%","0.89%","299","1.44%","185"
"322","66.80%","36","482","150","31.12%","0.62%","7","1.45%","3"
"297","68.43%","37","434","131","30.18%","0.23%","5","1.15%","1"
"307","69.77%","38","440","125","28.41%","0.91%","4","0.91%","4"
"289","65.38%","39","442","147","33.26%","0.45%","4","0.90%","2"
"293","63.97%","40","458","156","34.06%","0.66%","6","1.31%","3"
"277","63.82%","41","434","147","33.87%","1.38%","4","0.92%","6"
"269","58.86%","42","457","180","39.39%","0.44%","6","1.31%","2"
"263","56.80%","43","463","191","41.25%","0.43%","7","1.51%","2"
"286","60.34%","44","474","166","35.02%","1.05%","17","3.59%","5"
"","%","","Votes Cast","","%","%","","%",""
"388","82.73%","1","469","54","11.51%","2.35%","16","3.41%","11"
"475","86.05%","2","552","64","11.59%","0.54%","10","1.81%","3"
"524","76.05%","3","689","150","21.77%","0.87%","9","1.31%","6"
"419","83.63%","4","501","70","13.97%","0.80%","8","1.60%","4"
"495","75.00%","5","660","139","21.06%","1.21%","18","2.73%","8"
"423","90.58%","6","467","40","8.57%","0.64%","1","0.21%","3"
"534","80.18%","7","666","118","17.72%","1.20%","6","0.90%","8"
"380","84.07%","8","452","67","14.82%","0.66%","2","0.44%","3"
"480","83.48%","9","575","77","13.39%","1.22%","11","1.91%","7"
"539","75.49%","10","714","157","21.99%","0.98%","11","1.54%","7"
"390","71.04%","11","549","151","27.50%","0.55%","5","0.91%","3"
"498","89.41%","12","557","46","8.26%","1.44%","5","0.90%","8"
"504","82.76%","13","609","90","14.78%","0.82%","10","1.64%","5"
"612","89.08%","14","687","73","10.63%","0.29%","0","0.00%","2"
"516","78.06%","15","661","134","20.27%","0.30%","9","1.36%","2"
"495","83.33%","16","594","75","12.63%","2.36%","10","1.68%","14"
"522","78.97%","17","661","123","18.61%","0.91%","10","1.51%","6"
"488","74.05%","18","659","156","23.67%","1.06%","8","1.21%","7"
"304","76.96%","19","395","81","20.51%","0.25%","9","2.28%","1"
"477","88.83%","20","537","46","8.57%","1.86%","4","0.74%","10"
"","%","","Votes Cast","","%","%","","%",""
"365","77.17%","21","473","99","20.93%","1.06%","4","0.85%","5"
"390","83.33%","22","468","58","12.39%","1.28%","14","2.99%","6"
"451","89.13%","23","506","43","8.50%","1.78%","3","0.59%","9"
"484","77.32%","24","626","118","18.85%","1.76%","13","2.08%","11"
"493","87.26%","25","565","57","10.09%","1.24%","8","1.42%","7"
"475","87.48%","26","543","57","10.50%","0.37%","9","1.66%","2"
"533","80.64%","27","661","110","16.64%","1.51%","8","1.21%","10"
"457","77.46%","28","590","121","20.51%","0.85%","7","1.19%","5"
"398","82.06%","29","485","79","16.29%","1.03%","3","0.62%","5"
"495","83.33%","30","594","84","14.14%","1.01%","9","1.52%","6"
"529","82.02%","31","645","94","14.57%","1.40%","13","2.02%","9"
"538","87.06%","32","618","69","11.17%","1.13%","4","0.65%","7"
"19026","81.85%","","","3662","15.75%","1.05%","315","1.36%","243"
"571","79.86%","33","715","135","18.88%","0.70%","4","0.56%","5"
"511","79.47%","34","643","105","16.33%","1.87%","15","2.33%","12"
"618","85.71%","35","721","91","12.62%","0.83%","6","0.83%","6"
"433","77.46%","36","559","115","20.57%","0.72%","7","1.25%","4"
"424","91.38%","37","464","34","7.33%","0.86%","2","0.43%","4"
"543","83.28%","38","652","94","14.42%","0.77%","10","1.53%","5"
"419","76.18%","39","550","117","21.27%","0.73%","10","1.82%","4"
"436","84.82%","40","514","71","13.81%","0.58%","4","0.78%","3"
"","%","","Votes Cast","","%","%","","%",""
"292","73.00%","1","400","91","22.75%","1.50%","11","2.75%","6"
"485","77.35%","2","627","133","21.21%","0.48%","6","0.96%","3"
"417","72.02%","3","579","152","26.25%","0.86%","5","0.86%","5"
"477","71.19%","4","670","179","26.72%","1.04%","7","1.04%","7"
"509","82.36%","5","618","89","14.40%","1.29%","12","1.94%","8"
"462","74.04%","6","624","142","22.76%","0.64%","16","2.56%","4"
"412","76.16%","7","541","115","21.26%","1.29%","7","1.29%","7"
"461","74.12%","8","622","141","22.67%","1.77%","9","1.45%","11"
"396","75.72%","9","523","112","21.41%","0.76%","11","2.10%","4"
"561","84.49%","10","664","84","12.65%","1.36%","10","1.51%","9"
"418","75.45%","11","554","125","22.56%","1.08%","5","0.90%","6"
"451","76.70%","12","588","113","19.22%","2.04%","12","2.04%","12"
"458","82.52%","13","555","81","14.59%","1.26%","9","1.62%","7"
"381","70.95%","14","537","134","24.95%","1.68%","13","2.42%","9"
"566","87.62%","15","646","63","9.75%","1.70%","6","0.93%","11"
"431","79.81%","16","540","94","17.41%","1.85%","5","0.93%","10"
"388","73.48%","17","528","125","23.67%","2.08%","4","0.76%","11"
"408","75.14%","18","543","118","21.73%","1.10%","11","2.03%","6"
"548","88.24%","19","621","57","9.18%","1.45%","7","1.13%","9"
"459","83.45%","20","550","80","14.55%","0.91%","6","1.09%","5"
"451","82.45%","21","547","79","14.44%","2.38%","4","0.73%","13"
"489","83.16%","22","588","82","13.95%","1.87%","6","1.02%","11"
"532","88.37%","23","602","50","8.31%","2.16%","7","1.16%","13"
"420","72.16%","24","582","153","26.29%","0.69%","5","0.86%","4"
"","%","","Votes Cast","","%","%","","%",""
"432","79.70%","25","542","95","17.53%","1.29%","8","1.48%","7"
"507","84.78%","26","598","73","12.21%","1.17%","11","1.84%","7"
"419","73.77%","27","568","125","22.01%","1.76%","14","2.46%","10"
"437","79.45%","28","550","99","18.00%","1.82%","4","0.73%","10"
"423","71.94%","29","588","148","25.17%","1.53%","8","1.36%","9"
"499","81.40%","30","613","93","15.17%","2.12%","8","1.31%","13"
"462","81.20%","31","569","84","14.76%","2.81%","7","1.23%","16"
"528","85.30%","32","619","74","11.95%","1.62%","7","1.13%","10"
"399","69.39%","33","575","159","27.65%","1.39%","9","1.57%","8"
"480","81.91%","34","586","84","14.33%","1.88%","11","1.88%","11"
"420","76.23%","35","551","117","21.23%","1.45%","6","1.09%","8"
"501","82.00%","36","611","79","12.93%","1.96%","19","3.11%","12"
"493","79.77%","37","618","109","17.64%","0.97%","10","1.62%","6"
"440","80.29%","38","548","91","16.61%","1.64%","8","1.46%","9"
"466","80.21%","39","581","101","17.38%","1.03%","8","1.38%","6"
"21497","78.70%","","","5006","18.33%","1.47%","412","1.51%","401"
"474","82.58%","40","574","84","14.63%","1.74%","6","1.05%","10"
"516","82.17%","41","628","97","15.45%","0.96%","9","1.43%","6"
"478","85.66%","42","558","60","10.75%","2.33%","7","1.25%","13"
"409","74.09%","43","552","127","23.01%","0.72%","12","2.17%","4"
"432","73.59%","44","587","136","23.17%","0.85%","14","2.39%","5"
"483","83.28%","45","580","75","12.93%","2.59%","7","1.21%","15"
"408","69.98%","46","583","155","26.59%","1.20%","13","2.23%","7"
"462","74.04%","47","624","142","22.76%","1.28%","12","1.92%","8"
"57","89.06%","48","64","7","10.94%","0.00%","0","0.00%","0"
"","%","","Votes Cast","","%","%","","%",""
"424","85.31%","1","497","60","12.07%","1.81%","4","0.80%","9"
"212","80.92%","2","262","45","17.18%","1.15%","2","0.76%","3"
"553","86.14%","3","642","71","11.06%","1.40%","9","1.40%","9"
"410","86.68%","4","473","50","10.57%","1.90%","4","0.85%","9"
"255","75.44%","5","338","76","22.49%","1.48%","2","0.59%","5"
"525","84.68%","6","620","82","13.23%","0.81%","8","1.29%","5"
"491","89.76%","7","547","41","7.50%","1.83%","5","0.91%","10"
"224","70.66%","8","317","87","27.44%","0.63%","4","1.26%","2"
"319","76.68%","9","416","89","21.39%","1.20%","3","0.72%","5"
"605","89.23%","10","678","55","8.11%","2.21%","3","0.44%","15"
"405","88.43%","11","458","48","10.48%","0.66%","2","0.44%","3"
"579","87.99%","12","658","66","10.03%","0.76%","8","1.22%","5"
"577","79.59%","13","725","129","17.79%","1.66%","7","0.97%","12"
"264","79.04%","14","334","67","20.06%","0.90%","0","0.00%","3"
"301","82.24%","15","366","61","16.67%","0.55%","2","0.55%","2"
"507","85.79%","16","591","68","11.51%","2.03%","4","0.68%","12"
"469","85.90%","17","546","68","12.45%","0.92%","4","0.73%","5"
"423","88.31%","18","479","51","10.65%","0.63%","2","0.42%","3"
"311","85.91%","19","362","40","11.05%","1.66%","5","1.38%","6"
"503","87.02%","20","578","54","9.34%","2.60%","6","1.04%","15"
"619","90.10%","21","687","56","8.15%","0.73%","7","1.02%","5"
"381","80.04%","22","476","92","19.33%","0.63%","0","0.00%","3"
"395","83.16%","23","475","72","15.16%","0.63%","5","1.05%","3"
"","%","","Votes Cast","","%","%","","%",""
"433","74.78%","24","579","130","22.45%","1.38%","8","1.38%","8"
"420","85.71%","25","490","54","11.02%","1.43%","9","1.84%","7"
"260","83.60%","26","311","42","13.50%","1.29%","5","1.61%","4"
"398","85.22%","27","467","57","12.21%","0.43%","10","2.14%","2"
"574","75.23%","28","763","178","23.33%","0.92%","4","0.52%","7"
"244","86.83%","29","281","35","12.46%","0.36%","1","0.36%","1"
"429","87.91%","30","488","54","11.07%","0.82%","1","0.20%","4"
"652","88.83%","31","734","63","8.58%","1.36%","9","1.23%","10"
"463","88.87%","32","521","43","8.25%","1.54%","7","1.34%","8"
"256","79.26%","33","323","61","18.89%","1.24%","2","0.62%","4"
"415","85.22%","34","487","52","10.68%","3.29%","4","0.82%","16"
"381","80.21%","35","475","84","17.68%","1.47%","3","0.63%","7"
"283","82.03%","36","345","57","16.52%","0.87%","2","0.58%","3"
"443","86.52%","37","512","54","10.55%","1.76%","6","1.17%","9"
"19542","84.63%","","","3028","13.11%","1.31%","220","0.95%","302"
"451","84.30%","38","535","75","14.02%","1.12%","3","0.56%","6"
"385","78.57%","39","490","98","20.00%","1.02%","2","0.41%","5"
"410","85.24%","40","481","55","11.43%","1.87%","7","1.46%","9"
"575","88.87%","41","647","53","8.19%","1.55%","9","1.39%","10"
"549","90.15%","42","609","43","7.06%","0.82%","12","1.97%","5"
"538","86.50%","43","622","69","11.09%","1.93%","3","0.48%","12"
"564","89.52%","44","630","53","8.41%","0.32%","11","1.75%","2"
"364","89.22%","45","408","32","7.84%","2.21%","3","0.74%","9"
"303","82.11%","46","369","58","15.72%","1.36%","3","0.81%","5"
"","%","","Votes Cast","","%","%","","%",""
"480","96.77%","1","496","13","2.62%","0.40%","1","0.20%","2"
"334","86.75%","2","385","39","10.13%","1.82%","5","1.30%","7"
"542","90.33%","3","600","42","7.00%","1.67%","6","1.00%","10"
"580","89.23%","4","650","46","7.08%","2.77%","6","0.92%","18"
"512","91.59%","5","559","36","6.44%","1.07%","5","0.89%","6"
"478","86.13%","6","555","65","11.71%","0.18%","11","1.98%","1"
"377","81.96%","7","460","72","15.65%","1.30%","5","1.09%","6"
"408","87.55%","8","466","53","11.37%","0.21%","4","0.86%","1"
"531","86.48%","9","614","63","10.26%","1.63%","10","1.63%","10"
"484","87.84%","10","551","59","10.71%","1.27%","1","0.18%","7"
"583","88.07%","11","662","54","8.16%","3.02%","5","0.76%","20"
"575","84.31%","12","682","68","9.97%","3.37%","16","2.35%","23"
"557","85.30%","13","653","85","13.02%","1.07%","4","0.61%","7"
"451","88.78%","14","508","46","9.06%","1.57%","3","0.59%","8"
"382","89.46%","15","427","36","8.43%","1.64%","2","0.47%","7"
"410","85.06%","16","482","54","11.20%","2.07%","8","1.66%","10"
"422","79.62%","17","530","94","17.74%","0.94%","9","1.70%","5"
"","%","","Votes Cast","","%","%","","%",""
"616","89.67%","18","687","43","6.26%","2.47%","11","1.60%","17"
"487","91.71%","19","531","32","6.03%","1.69%","3","0.56%","9"
"697","90.87%","20","767","44","5.74%","2.74%","5","0.65%","21"
"318","87.60%","21","363","41","11.29%","0.83%","1","0.28%","3"
"506","87.69%","22","577","59","10.23%","1.73%","2","0.35%","10"
"516","86.72%","23","595","49","8.24%","3.53%","9","1.51%","21"
"492","90.77%","24","542","43","7.93%","0.92%","2","0.37%","5"
"626","87.68%","25","714","60","8.40%","2.24%","12","1.68%","16"
"513","80.03%","26","641","110","17.16%","2.18%","4","0.62%","14"
"602","90.80%","27","663","35","5.28%","2.71%","8","1.21%","18"
"16538","88.13%","","","1717","9.15%","1.70%","191","1.02%","319"
"556","88.25%","28","630","55","8.73%","1.11%","12","1.90%","7"
"592","90.52%","29","654","41","6.27%","1.83%","9","1.38%","12"
"518","86.33%","30","600","71","11.83%","0.83%","6","1.00%","5"
"413","89.39%","31","462","44","9.52%","0.65%","2","0.43%","3"
"528","93.62%","32","564","30","5.32%","0.71%","2","0.35%","4"
"452","91.31%","33","495","35","7.07%","1.21%","2","0.40%","6"
"","%","","Votes Cast","","%","%","","%",""
"236","49.68%","1","475","227","47.79%","1.05%","7","1.47%","5"
"196","61.83%","2","317","115","36.28%","1.89%","0","0.00%","6"
"265","58.63%","3","452","185","40.93%","0.44%","0","0.00%","2"
"405","76.70%","4","528","118","22.35%","0.38%","3","0.57%","2"
"184","43.40%","5","424","231","54.48%","1.65%","2","0.47%","7"
"394","77.71%","6","507","106","20.91%","0.39%","5","0.99%","2"
"420","77.35%","7","543","107","19.71%","2.03%","5","0.92%","11"
"393","86.18%","8","456","54","11.84%","1.54%","2","0.44%","7"
"278","75.75%","9","367","83","22.62%","0.54%","4","1.09%","2"
"289","59.34%","10","487","189","38.81%","0.82%","5","1.03%","4"
"112","28.87%","11","388","270","69.59%","0.26%","5","1.29%","1"
"123","56.94%","12","216","87","40.28%","1.39%","3","1.39%","3"
"455","87.67%","13","519","53","10.21%","2.12%","0","0.00%","11"
"86","50.59%","14","170","84","49.41%","0.00%","0","0.00%","0"
"428","79.55%","15","538","97","18.03%","2.04%","2","0.37%","11"
"104","55.61%","16","187","83","44.39%","0.00%","0","0.00%","0"
"288","65.75%","17","438","142","32.42%","0.91%","4","0.91%","4"
"40","33.90%","18","118","78","66.10%","0.00%","0","0.00%","0"
"251","80.19%","19","313","55","17.57%","1.60%","2","0.64%","5"
"360","76.92%","20","468","96","20.51%","1.28%","6","1.28%","6"
"","%","","Votes Cast","","%","%","","%",""
"297","72.26%","21","411","109","26.52%","0.97%","1","0.24%","4"
"244","56.88%","22","429","179","41.72%","0.70%","3","0.70%","3"
"235","67.53%","23","348","107","30.75%","1.44%","1","0.29%","5"
"173","37.12%","24","466","290","62.23%","0.43%","1","0.21%","2"
"194","41.72%","25","465","266","57.20%","0.65%","2","0.43%","3"
"391","80.62%","26","485","91","18.76%","0.21%","2","0.41%","1"
"90","62.50%","27","144","52","36.11%","0.69%","1","0.69%","1"
"495","79.84%","28","620","115","18.55%","0.48%","7","1.13%","3"
"347","83.41%","29","416","66","15.87%","0.00%","3","0.72%","0"
"294","84.97%","30","346","47","13.58%","0.29%","4","1.16%","1"
"445","89.54%","31","497","42","8.45%","1.41%","3","0.60%","7"
"471","91.46%","32","515","39","7.57%","0.19%","4","0.78%","1"
"11172","67.46%","","","5120","30.92%","0.93%","115","0.69%","154"
"176","41.41%","33","425","247","58.12%","0.00%","2","0.47%","0"
"387","69.48%","34","557","157","28.19%","1.26%","6","1.08%","7"
"428","80.00%","35","535","95","17.76%","1.31%","5","0.93%","7"
"304","69.89%","36","435","118","27.13%","1.38%","7","1.61%","6"
"348","78.56%","37","443","83","18.74%","1.35%","6","1.35%","6"
"140","64.81%","38","216","76","35.19%","0.00%","0","0.00%","0"
"241","63.93%","39","377","133","35.28%","0.80%","0","0.00%","3"
"165","31.73%","40","520","348","66.92%","0.96%","2","0.38%","5"
