"Elec"
"Emanuel","Emanuel_Pct","Fioretti","Fioretti_Pct","Garcia","Garcia_Pct","Pct","Votes Cast","Walls","Walls_Pct","Wilson","Wilson_Pct"
"138","48.25%","8","2.80%","58","20.28%","13","286","17","5.94%","65","22.73%"
"43","33.86%","2","1.57%","32","25.20%","14","127","7","5.51%","43","33.86%"
"100","44.05%","11","4.85%","42","18.50%","15","227","12","5.29%","62","27.31%"
"33","45.83%","2","2.78%","17","23.61%","16","72","4","5.56%","16","22.22%"
"111","45.68%","14","5.76%","62","25.51%","17","243","16","6.58%","40","16.46%"
"105","50.48%","6","2.88%","36","17.31%","18","208","10","4.81%","51","24.52%"
"118","34.71%","24","7.06%","98","28.82%","19","340","23","6.76%","77","22.65%"
"114","40.43%","14","4.96%","54","19.15%","20","282","27","9.57%","73","25.89%"
"111","39.36%","13","4.61%","67","23.76%","21","282","26","9.22%","65","23.05%"
"99","42.13%","8","3.40%","40","17.02%","22","235","21","8.94%","67","28.51%"
"89","43.41%","12","5.85%","51","24.88%","23","205","11","5.37%","42","20.49%"
"76","44.71%","12","7.06%","39","22.94%","24","170","14","8.24%","29","17.06%"
"114","49.57%","1","0.43%","52","22.61%","25","230","13","5.65%","50","21.74%"
"109","46.98%","7","3.02%","49","21.12%","26","232","16","6.90%","51","21.98%"
"122","40.94%","15","5.03%","85","28.52%","27","298","17","5.70%","59","19.80%"
"120","43.48%","7","2.54%","63","22.83%","28","276","19","6.88%","67","24.28%"
"","%","","%","","%","","Votes Cast","","%","","%"
"108","37.76%","9","3.15%","89","31.12%","29","286","16","5.59%","64","22.38%"
"119","41.46%","12","4.18%","71","24.74%","30","287","16","5.57%","69","24.04%"
"90","42.65%","19","9.00%","46","21.80%","31","211","12","5.69%","44","20.85%"
"105","47.51%","2","0.90%","53","23.98%","32","221","17","7.69%","44","19.91%"
"129","50.19%","9","3.50%","47","18.29%","33","257","8","3.11%","64","24.90%"
"104","40.15%","10","3.86%","58","22.39%","34","259","13","5.02%","74","28.57%"
"136","43.17%","15","4.76%","74","23.49%","35","315","18","5.71%","72","22.86%"
"118","41.99%","16","5.69%","63","22.42%","36","281","22","7.83%","62","22.06%"
"108","44.08%","19","7.76%","68","27.76%","37","245","18","7.35%","32","13.06%"
"80","44.94%","7","3.93%","32","17.98%","38","178","17","9.55%","42","23.60%"
"107","40.07%","6","2.25%","80","29.96%","39","267","12","4.49%","62","23.22%"
"92","46.94%","4","2.04%","50","25.51%","40","196","15","7.65%","35","17.86%"
"108","41.86%","13","5.04%","55","21.32%","41","258","18","6.98%","64","24.81%"
"131","41.32%","5","1.58%","84","26.50%","42","317","26","8.20%","71","22.40%"
"48","36.36%","2","1.52%","36","27.27%","43","132","9","6.82%","37","28.03%"
"71","39.89%","6","3.37%","50","28.09%","44","178","18","10.11%","33","18.54%"
"84","45.65%","5","2.72%","37","20.11%","45","184","10","5.43%","48","26.09%"
"66","33.67%","11","5.61%","56","28.57%","46","196","11","5.61%","52","26.53%"
"106","47.11%","2","0.89%","47","20.89%","47","225","7","3.11%","63","28.00%"
"5938","43.39%","569","4.16%","3289","24.03%","","","903","6.60%","2987","21.83%"
"93","43.06%","8","3.70%","48","22.22%","48","216","21","9.72%","46","21.30%"
"111","42.05%","11","4.17%","79","29.92%","49","264","14","5.30%","49","18.56%"
"132","44.15%","8","2.68%","83","27.76%","50","299","12","4.01%","64","21.40%"
"123","42.86%","12","4.18%","69","24.04%","51","287","9","3.14%","74","25.78%"
"145","40.28%","15","4.17%","75","20.83%","52","360","38","10.56%","87","24.17%"
"64","41.03%","5","3.21%","31","19.87%","53","156","14","8.97%","42","26.92%"
"86","51.19%","5","2.98%","34","20.24%","54","168","7","4.17%","36","21.43%"
"90","55.90%","5","3.11%","26","16.15%","55","161","8","4.97%","32","19.88%"
"132","46.98%","15","5.34%","70","24.91%","56","281","26","9.25%","38","13.52%"
"","%","","%","","%","","Votes Cast","","%","","%"
"124","50.61%","4","1.63%","37","15.10%","1","245","21","8.57%","59","24.08%"
"95","43.98%","5","2.31%","45","20.83%","2","216","12","5.56%","59","27.31%"
"52","36.11%","3","2.08%","25","17.36%","3","144","13","9.03%","51","35.42%"
"95","50.80%","9","4.81%","36","19.25%","4","187","10","5.35%","37","19.79%"
"111","46.06%","7","2.90%","48","19.92%","5","241","17","7.05%","58","24.07%"
"96","38.10%","6","2.38%","52","20.63%","6","252","27","10.71%","71","28.17%"
"78","46.15%","6","3.55%","33","19.53%","7","169","10","5.92%","42","24.85%"
"88","42.72%","9","4.37%","38","18.45%","8","206","13","6.31%","58","28.16%"
"140","47.46%","9","3.05%","58","19.66%","9","295","17","5.76%","71","24.07%"
"86","42.57%","2","0.99%","36","17.82%","10","202","16","7.92%","62","30.69%"
"72","39.78%","9","4.97%","45","24.86%","11","181","8","4.42%","47","25.97%"
"112","40.00%","12","4.29%","64","22.86%","12","280","26","9.29%","66","23.57%"
"138","44.52%","14","4.52%","67","21.61%","13","310","14","4.52%","77","24.84%"
"159","46.09%","17","4.93%","79","22.90%","14","345","13","3.77%","77","22.32%"
"57","37.25%","6","3.92%","23","15.03%","15","153","10","6.54%","57","37.25%"
"104","45.02%","10","4.33%","48","20.78%","16","231","14","6.06%","55","23.81%"
"75","40.54%","2","1.08%","32","17.30%","17","185","21","11.35%","55","29.73%"
"61","38.61%","8","5.06%","35","22.15%","18","158","8","5.06%","46","29.11%"
"86","39.27%","10","4.57%","54","24.66%","19","219","11","5.02%","58","26.48%"
"131","46.13%","7","2.46%","67","23.59%","20","284","17","5.99%","62","21.83%"
"110","49.11%","7","3.13%","34","15.18%","21","224","17","7.59%","56","25.00%"
"133","47.84%","19","6.83%","60","21.58%","22","278","17","6.12%","49","17.63%"
"117","41.20%","13","4.58%","71","25.00%","23","284","19","6.69%","64","22.54%"
"127","46.86%","9","3.32%","68","25.09%","24","271","10","3.69%","57","21.03%"
"88","34.78%","12","4.74%","79","31.23%","25","253","12","4.74%","62","24.51%"
"64","41.83%","7","4.58%","37","24.18%","26","153","15","9.80%","30","19.61%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","46.36%","10","4.55%","31","14.09%","27","220","18","8.18%","59","26.82%"
"60","48.39%","2","1.61%","34","27.42%","28","124","1","0.81%","27","21.77%"
"100","43.86%","3","1.32%","48","21.05%","29","228","22","9.65%","55","24.12%"
"69","34.33%","10","4.98%","47","23.38%","30","201","9","4.48%","66","32.84%"
"86","42.79%","12","5.97%","30","14.93%","31","201","10","4.98%","63","31.34%"
"96","40.51%","9","3.80%","57","24.05%","32","237","13","5.49%","62","26.16%"
"91","51.12%","4","2.25%","26","14.61%","33","178","17","9.55%","40","22.47%"
"75","39.27%","7","3.66%","30","15.71%","34","191","9","4.71%","70","36.65%"
"133","49.81%","16","5.99%","44","16.48%","35","267","16","5.99%","58","21.72%"
"102","49.04%","7","3.37%","44","21.15%","36","208","11","5.29%","44","21.15%"
"145","44.48%","57","17.48%","90","27.61%","37","326","10","3.07%","24","7.36%"
"103","44.02%","8","3.42%","53","22.65%","38","234","18","7.69%","52","22.22%"
"109","42.41%","12","4.67%","58","22.57%","39","257","19","7.39%","59","22.96%"
"140","48.28%","13","4.48%","58","20.00%","40","290","17","5.86%","62","21.38%"
"104","48.15%","12","5.56%","42","19.44%","41","216","11","5.09%","47","21.76%"
"118","38.82%","8","2.63%","108","35.53%","42","304","19","6.25%","51","16.78%"
"86","42.57%","12","5.94%","39","19.31%","43","202","14","6.93%","51","25.25%"
"5186","43.30%","517","4.32%","2625","21.92%","","","777","6.49%","2873","23.99%"
"79","33.33%","6","2.53%","60","25.32%","44","237","18","7.59%","74","31.22%"
"87","47.28%","6","3.26%","33","17.93%","45","184","9","4.89%","49","26.63%"
"114","45.60%","10","4.00%","52","20.80%","46","250","17","6.80%","57","22.80%"
"142","44.65%","16","5.03%","76","23.90%","47","318","15","4.72%","69","21.70%"
"110","39.71%","12","4.33%","65","23.47%","48","277","22","7.94%","68","24.55%"
"96","41.03%","12","5.13%","52","22.22%","49","234","20","8.55%","54","23.08%"
"134","37.12%","22","6.09%","113","31.30%","50","361","31","8.59%","61","16.90%"
"106","39.70%","9","3.37%","64","23.97%","51","267","23","8.61%","65","24.34%"
"","%","","%","","%","","Votes Cast","","%","","%"
"108","45.00%","3","1.25%","80","33.33%","1","240","7","2.92%","42","17.50%"
"139","43.44%","57","17.81%","113","35.31%","2","320","2","0.63%","9","2.81%"
"144","47.37%","38","12.50%","110","36.18%","3","304","3","0.99%","9","2.96%"
"70","36.65%","9","4.71%","90","47.12%","4","191","5","2.62%","17","8.90%"
"118","46.64%","34","13.44%","89","35.18%","5","253","2","0.79%","10","3.95%"
"96","40.17%","29","12.13%","109","45.61%","6","239","1","0.42%","4","1.67%"
"76","38.58%","8","4.06%","103","52.28%","7","197","3","1.52%","7","3.55%"
"52","40.31%","1","0.78%","47","36.43%","8","129","4","3.10%","25","19.38%"
"140","41.67%","54","16.07%","131","38.99%","9","336","1","0.30%","10","2.98%"
"117","34.72%","34","10.09%","182","54.01%","10","337","1","0.30%","3","0.89%"
"102","30.00%","24","7.06%","208","61.18%","11","340","2","0.59%","4","1.18%"
"81","41.54%","20","10.26%","90","46.15%","12","195","1","0.51%","3","1.54%"
"114","38.51%","11","3.72%","153","51.69%","13","296","4","1.35%","14","4.73%"
"139","32.86%","26","6.15%","254","60.05%","14","423","0","0.00%","4","0.95%"
"184","38.57%","24","5.03%","112","23.48%","15","477","31","6.50%","126","26.42%"
"91","44.39%","29","14.15%","80","39.02%","16","205","2","0.98%","3","1.46%"
"195","45.45%","61","14.22%","158","36.83%","17","429","3","0.70%","12","2.80%"
"48","33.57%","1","0.70%","76","53.15%","18","143","2","1.40%","16","11.19%"
"","%","","%","","%","","Votes Cast","","%","","%"
"117","34.62%","41","12.13%","165","48.82%","19","338","7","2.07%","8","2.37%"
"165","48.82%","23","6.80%","134","39.64%","20","338","5","1.48%","11","3.25%"
"103","32.49%","24","7.57%","179","56.47%","21","317","3","0.95%","8","2.52%"
"43","27.92%","6","3.90%","102","66.23%","22","154","0","0.00%","3","1.95%"
"91","32.97%","16","5.80%","165","59.78%","23","276","0","0.00%","4","1.45%"
"153","43.84%","54","15.47%","125","35.82%","24","349","4","1.15%","13","3.72%"
"24","30.38%","4","5.06%","40","50.63%","25","79","3","3.80%","8","10.13%"
"60","34.09%","8","4.55%","98","55.68%","26","176","0","0.00%","10","5.68%"
"66","28.45%","7","3.02%","112","48.28%","27","232","5","2.16%","42","18.10%"
"113","31.48%","26","7.24%","213","59.33%","28","359","0","0.00%","7","1.95%"
"87","35.51%","19","7.76%","127","51.84%","29","245","3","1.22%","9","3.67%"
"76","30.89%","11","4.47%","153","62.20%","30","246","2","0.81%","4","1.63%"
"3586","37.74%","816","8.59%","4501","47.37%","","","116","1.22%","482","5.07%"
"64","29.91%","11","5.14%","133","62.15%","31","214","2","0.93%","4","1.87%"
"115","40.78%","20","7.09%","143","50.71%","32","282","1","0.35%","3","1.06%"
"62","30.10%","21","10.19%","115","55.83%","33","206","3","1.46%","5","2.43%"
"67","42.41%","4","2.53%","77","48.73%","34","158","2","1.27%","8","5.06%"
"135","33.75%","56","14.00%","204","51.00%","35","400","1","0.25%","4","1.00%"
"31","39.74%","2","2.56%","31","39.74%","36","78","1","1.28%","13","16.67%"
"","%","","%","","%","","Votes Cast","","%","","%"
"158","49.38%","49","15.31%","101","31.56%","1","320","5","1.56%","7","2.19%"
"13","40.63%","3","9.38%","4","12.50%","2","32","4","12.50%","8","25.00%"
"47","23.86%","10","5.08%","135","68.53%","3","197","1","0.51%","4","2.03%"
"109","38.65%","40","14.18%","124","43.97%","4","282","2","0.71%","7","2.48%"
"92","33.58%","35","12.77%","129","47.08%","5","274","2","0.73%","16","5.84%"
"125","50.20%","30","12.05%","89","35.74%","6","249","1","0.40%","4","1.61%"
"76","41.53%","19","10.38%","66","36.07%","7","183","3","1.64%","19","10.38%"
"107","42.97%","35","14.06%","95","38.15%","8","249","4","1.61%","8","3.21%"
"101","40.24%","50","19.92%","94","37.45%","9","251","2","0.80%","4","1.59%"
"135","48.91%","48","17.39%","88","31.88%","10","276","1","0.36%","4","1.45%"
"129","43.29%","48","16.11%","107","35.91%","11","298","5","1.68%","9","3.02%"
"262","46.21%","114","20.11%","181","31.92%","12","567","4","0.71%","6","1.06%"
"239","50.00%","81","16.95%","147","30.75%","13","478","2","0.42%","9","1.88%"
"92","52.27%","33","18.75%","39","22.16%","14","176","3","1.70%","9","5.11%"
"80","63.49%","14","11.11%","26","20.63%","15","126","2","1.59%","4","3.17%"
"103","46.61%","39","17.65%","69","31.22%","16","221","3","1.36%","7","3.17%"
"119","41.32%","47","16.32%","110","38.19%","17","288","6","2.08%","6","2.08%"
"157","59.25%","40","15.09%","64","24.15%","18","265","2","0.75%","2","0.75%"
"147","43.62%","39","11.57%","139","41.25%","19","337","0","0.00%","12","3.56%"
"","%","","%","","%","","Votes Cast","","%","","%"
"129","55.60%","39","16.81%","62","26.72%","20","232","0","0.00%","2","0.86%"
"244","52.25%","64","13.70%","142","30.41%","21","467","2","0.43%","15","3.21%"
"185","47.80%","67","17.31%","121","31.27%","22","387","7","1.81%","7","1.81%"
"127","63.50%","25","12.50%","45","22.50%","23","200","0","0.00%","3","1.50%"
"261","56.99%","87","19.00%","102","22.27%","24","458","1","0.22%","7","1.53%"
"142","48.30%","35","11.90%","112","38.10%","25","294","3","1.02%","2","0.68%"
"208","51.61%","51","12.66%","129","32.01%","26","403","1","0.25%","14","3.47%"
"44","43.56%","12","11.88%","40","39.60%","27","101","2","1.98%","3","2.97%"
"100","56.50%","22","12.43%","49","27.68%","28","177","2","1.13%","4","2.26%"
"194","50.00%","61","15.72%","117","30.15%","29","388","3","0.77%","13","3.35%"
"91","64.08%","13","9.15%","37","26.06%","30","142","0","0.00%","1","0.70%"
"175","52.87%","49","14.80%","99","29.91%","31","331","2","0.60%","6","1.81%"
"105","55.56%","52","27.51%","31","16.40%","32","189","0","0.00%","1","0.53%"
"4711","48.93%","1440","14.95%","3140","32.61%","","","85","0.88%","253","2.63%"
"114","54.29%","22","10.48%","66","31.43%","33","210","0","0.00%","8","3.81%"
"71","57.26%","16","12.90%","30","24.19%","34","124","1","0.81%","6","4.84%"
"79","60.77%","18","13.85%","23","17.69%","35","130","2","1.54%","8","6.15%"
"59","43.38%","24","17.65%","46","33.82%","36","136","3","2.21%","4","2.94%"
"65","66.33%","7","7.14%","20","20.41%","37","98","4","4.08%","2","2.04%"
"27","29.03%","2","2.15%","62","66.67%","38","93","0","0.00%","2","2.15%"
"","%","","%","","%","","Votes Cast","","%","","%"
"84","29.68%","19","6.71%","175","61.84%","1","283","2","0.71%","3","1.06%"
"56","30.43%","8","4.35%","116","63.04%","2","184","2","1.09%","2","1.09%"
"67","22.19%","20","6.62%","207","68.54%","3","302","3","0.99%","5","1.66%"
"73","30.17%","10","4.13%","156","64.46%","4","242","1","0.41%","2","0.83%"
"79","34.65%","23","10.09%","114","50.00%","5","228","3","1.32%","9","3.95%"
"61","26.99%","11","4.87%","142","62.83%","6","226","3","1.33%","9","3.98%"
"34","17.62%","2","1.04%","154","79.79%","7","193","0","0.00%","3","1.55%"
"89","35.60%","12","4.80%","137","54.80%","8","250","3","1.20%","9","3.60%"
"58","29.29%","13","6.57%","122","61.62%","9","198","1","0.51%","4","2.02%"
"39","19.60%","4","2.01%","148","74.37%","10","199","5","2.51%","3","1.51%"
"51","23.50%","9","4.15%","154","70.97%","11","217","1","0.46%","2","0.92%"
"58","30.37%","11","5.76%","118","61.78%","12","191","1","0.52%","3","1.57%"
"","%","","%","","%","","Votes Cast","","%","","%"
"49","22.37%","13","5.94%","152","69.41%","13","219","3","1.37%","2","0.91%"
"29","16.38%","1","0.56%","142","80.23%","14","177","1","0.56%","4","2.26%"
"56","26.29%","6","2.82%","132","61.97%","15","213","4","1.88%","15","7.04%"
"33","18.75%","0","0.00%","140","79.55%","16","176","2","1.14%","1","0.57%"
"52","22.51%","10","4.33%","164","71.00%","17","231","1","0.43%","4","1.73%"
"41","22.28%","10","5.43%","132","71.74%","18","184","0","0.00%","1","0.54%"
"59","27.19%","9","4.15%","146","67.28%","19","217","1","0.46%","2","0.92%"
"1284","25.70%","241","4.82%","3335","66.74%","","","41","0.82%","96","1.92%"
"57","24.57%","9","3.88%","161","69.40%","20","232","1","0.43%","4","1.72%"
"58","25.00%","16","6.90%","153","65.95%","21","232","2","0.86%","3","1.29%"
"32","19.39%","4","2.42%","126","76.36%","22","165","0","0.00%","3","1.82%"
"69","28.99%","21","8.82%","144","60.50%","23","238","1","0.42%","3","1.26%"
"","%","","%","","%","","Votes Cast","","%","","%"
"137","58.30%","24","10.21%","71","30.21%","1","235","1","0.43%","2","0.85%"
"150","57.69%","31","11.92%","72","27.69%","2","260","2","0.77%","5","1.92%"
"54","40.60%","6","4.51%","70","52.63%","3","133","1","0.75%","2","1.50%"
"152","52.05%","43","14.73%","88","30.14%","4","292","2","0.68%","7","2.40%"
"134","49.26%","14","5.15%","120","44.12%","5","272","3","1.10%","1","0.37%"
"154","56.00%","39","14.18%","79","28.73%","6","275","0","0.00%","3","1.09%"
"113","60.11%","6","3.19%","68","36.17%","7","188","0","0.00%","1","0.53%"
"99","49.01%","28","13.86%","74","36.63%","8","202","0","0.00%","1","0.50%"
"101","51.53%","13","6.63%","79","40.31%","9","196","1","0.51%","2","1.02%"
"131","50.38%","36","13.85%","88","33.85%","10","260","1","0.38%","4","1.54%"
"161","54.21%","28","9.43%","103","34.68%","11","297","0","0.00%","5","1.68%"
"81","42.86%","8","4.23%","92","48.68%","12","189","1","0.53%","7","3.70%"
"109","47.39%","17","7.39%","102","44.35%","13","230","0","0.00%","2","0.87%"
"96","46.15%","18","8.65%","87","41.83%","14","208","4","1.92%","3","1.44%"
"163","47.52%","23","6.71%","153","44.61%","15","343","3","0.87%","1","0.29%"
"80","50.96%","8","5.10%","66","42.04%","16","157","2","1.27%","1","0.64%"
"107","47.56%","32","14.22%","79","35.11%","17","225","0","0.00%","7","3.11%"
"104","50.98%","23","11.27%","71","34.80%","18","204","1","0.49%","5","2.45%"
"103","45.58%","3","1.33%","111","49.12%","19","226","0","0.00%","9","3.98%"
"82","49.70%","29","17.58%","49","29.70%","20","165","1","0.61%","4","2.42%"
"168","52.83%","65","20.44%","74","23.27%","21","318","4","1.26%","7","2.20%"
"146","55.30%","41","15.53%","70","26.52%","22","264","2","0.76%","5","1.89%"
"79","47.88%","12","7.27%","69","41.82%","23","165","2","1.21%","3","1.82%"
"112","53.33%","15","7.14%","69","32.86%","24","210","3","1.43%","11","5.24%"
"","%","","%","","%","","Votes Cast","","%","","%"
"130","54.39%","21","8.79%","86","35.98%","25","239","2","0.84%","0","0.00%"
"170","64.64%","18","6.84%","69","26.24%","26","263","1","0.38%","5","1.90%"
"116","54.21%","22","10.28%","66","30.84%","27","214","3","1.40%","7","3.27%"
"71","39.23%","16","8.84%","89","49.17%","28","181","2","1.10%","3","1.66%"
"78","42.39%","12","6.52%","92","50.00%","29","184","0","0.00%","2","1.09%"
"79","50.64%","8","5.13%","69","44.23%","30","156","0","0.00%","0","0.00%"
"130","47.97%","46","16.97%","88","32.47%","31","271","2","0.74%","5","1.85%"
"140","56.22%","30","12.05%","75","30.12%","32","249","0","0.00%","4","1.61%"
"117","49.79%","30","12.77%","80","34.04%","33","235","1","0.43%","7","2.98%"
"142","51.45%","18","6.52%","112","40.58%","34","276","0","0.00%","4","1.45%"
"93","44.08%","14","6.64%","102","48.34%","35","211","1","0.47%","1","0.47%"
"66","50.38%","3","2.29%","61","46.56%","36","131","0","0.00%","1","0.76%"
"155","54.96%","10","3.55%","93","32.98%","37","282","6","2.13%","18","6.38%"
"112","46.28%","33","13.64%","91","37.60%","38","242","0","0.00%","6","2.48%"
"90","39.30%","10","4.37%","126","55.02%","39","229","0","0.00%","3","1.31%"
"104","54.74%","9","4.74%","69","36.32%","40","190","0","0.00%","8","4.21%"
"5822","52.04%","1021","9.13%","4067","36.35%","","","67","0.60%","210","1.88%"
"123","53.25%","12","5.19%","92","39.83%","41","231","3","1.30%","1","0.43%"
"137","48.24%","56","19.72%","84","29.58%","42","284","0","0.00%","7","2.46%"
"155","56.36%","14","5.09%","102","37.09%","43","275","2","0.73%","2","0.73%"
"279","76.86%","11","3.03%","64","17.63%","44","363","0","0.00%","9","2.48%"
"181","64.87%","22","7.89%","63","22.58%","45","279","4","1.43%","9","3.23%"
"105","43.03%","10","4.10%","126","51.64%","46","244","1","0.41%","2","0.82%"
"107","47.77%","11","4.91%","100","44.64%","47","224","3","1.34%","3","1.34%"
"126","57.27%","23","10.45%","64","29.09%","48","220","2","0.91%","5","2.27%"
"","%","","%","","%","","Votes Cast","","%","","%"
"151","43.39%","67","19.25%","122","35.06%","1","348","3","0.86%","5","1.44%"
"131","41.72%","12","3.82%","166","52.87%","2","314","2","0.64%","3","0.96%"
"65","32.66%","6","3.02%","127","63.82%","3","199","1","0.50%","0","0.00%"
"115","47.72%","34","14.11%","85","35.27%","4","241","3","1.24%","4","1.66%"
"85","30.80%","3","1.09%","182","65.94%","5","276","1","0.36%","5","1.81%"
"37","33.33%","5","4.50%","67","60.36%","6","111","1","0.90%","1","0.90%"
"64","29.22%","14","6.39%","137","62.56%","7","219","0","0.00%","4","1.83%"
"69","33.01%","11","5.26%","122","58.37%","8","209","1","0.48%","6","2.87%"
"132","44.75%","40","13.56%","112","37.97%","9","295","4","1.36%","7","2.37%"
"51","33.12%","9","5.84%","90","58.44%","10","154","3","1.95%","1","0.65%"
"65","48.87%","2","1.50%","64","48.12%","11","133","1","0.75%","1","0.75%"
"100","46.30%","19","8.80%","90","41.67%","12","216","1","0.46%","6","2.78%"
"88","46.81%","12","6.38%","87","46.28%","13","188","1","0.53%","0","0.00%"
"74","39.36%","11","5.85%","99","52.66%","14","188","1","0.53%","3","1.60%"
"76","38.78%","8","4.08%","110","56.12%","15","196","0","0.00%","2","1.02%"
"70","40.23%","3","1.72%","96","55.17%","16","174","0","0.00%","5","2.87%"
"","%","","%","","%","","Votes Cast","","%","","%"
"99","44.59%","4","1.80%","119","53.60%","17","222","0","0.00%","0","0.00%"
"33","38.37%","7","8.14%","43","50.00%","18","86","1","1.16%","2","2.33%"
"69","37.70%","6","3.28%","102","55.74%","19","183","1","0.55%","5","2.73%"
"40","29.20%","12","8.76%","82","59.85%","20","137","0","0.00%","3","2.19%"
"49","23.33%","6","2.86%","149","70.95%","21","210","1","0.48%","5","2.38%"
"82","35.81%","36","15.72%","100","43.67%","22","229","5","2.18%","6","2.62%"
"97","45.54%","24","11.27%","84","39.44%","23","213","2","0.94%","6","2.82%"
"137","40.77%","52","15.48%","136","40.48%","24","336","0","0.00%","11","3.27%"
"31","22.79%","5","3.68%","99","72.79%","25","136","0","0.00%","1","0.74%"
"25","20.49%","7","5.74%","88","72.13%","26","122","0","0.00%","2","1.64%"
"2293","37.99%","448","7.42%","3151","52.20%","","","37","0.61%","107","1.77%"
"85","44.04%","8","4.15%","93","48.19%","27","193","3","1.55%","4","2.07%"
"47","33.33%","10","7.09%","80","56.74%","28","141","1","0.71%","3","2.13%"
"71","40.80%","9","5.17%","92","52.87%","29","174","0","0.00%","2","1.15%"
"30","37.97%","3","3.80%","44","55.70%","30","79","0","0.00%","2","2.53%"
"25","21.93%","3","2.63%","84","73.68%","31","114","0","0.00%","2","1.75%"
"","%","","%","","%","","Votes Cast","","%","","%"
"48","20.96%","3","1.31%","177","77.29%","1","229","0","0.00%","1","0.44%"
"49","35.00%","6","4.29%","24","17.14%","2","140","10","7.14%","51","36.43%"
"62","38.51%","7","4.35%","31","19.25%","3","161","6","3.73%","55","34.16%"
"56","25.45%","9","4.09%","153","69.55%","4","220","1","0.45%","1","0.45%"
"39","20.86%","1","0.53%","140","74.87%","5","187","0","0.00%","7","3.74%"
"61","27.35%","11","4.93%","146","65.47%","6","223","2","0.90%","3","1.35%"
"72","38.30%","8","4.26%","32","17.02%","7","188","12","6.38%","64","34.04%"
"63","28.90%","4","1.83%","149","68.35%","8","218","1","0.46%","1","0.46%"
"57","20.96%","9","3.31%","199","73.16%","9","272","4","1.47%","3","1.10%"
"55","22.54%","24","9.84%","157","64.34%","10","244","0","0.00%","8","3.28%"
"54","23.28%","12","5.17%","162","69.83%","11","232","0","0.00%","4","1.72%"
"76","29.46%","10","3.88%","170","65.89%","12","258","1","0.39%","1","0.39%"
"","%","","%","","%","","Votes Cast","","%","","%"
"41","22.65%","1","0.55%","136","75.14%","13","181","0","0.00%","3","1.66%"
"38","25.85%","3","2.04%","105","71.43%","14","147","0","0.00%","1","0.68%"
"41","25.47%","7","4.35%","108","67.08%","15","161","0","0.00%","5","3.11%"
"66","30.70%","2","0.93%","134","62.33%","16","215","1","0.47%","12","5.58%"
"71","36.60%","4","2.06%","58","29.90%","17","194","9","4.64%","52","26.80%"
"71","43.56%","7","4.29%","28","17.18%","18","163","8","4.91%","49","30.06%"
"64","29.49%","5","2.30%","116","53.46%","19","217","9","4.15%","23","10.60%"
"63","37.95%","3","1.81%","35","21.08%","20","166","8","4.82%","57","34.34%"
"1403","30.02%","156","3.34%","2394","51.23%","","","121","2.59%","599","12.82%"
"74","46.25%","2","1.25%","34","21.25%","21","160","10","6.25%","40","25.00%"
"54","30.51%","9","5.08%","27","15.25%","22","177","14","7.91%","73","41.24%"
"88","49.72%","4","2.26%","40","22.60%","23","177","11","6.21%","34","19.21%"
"40","27.97%","5","3.50%","33","23.08%","24","143","14","9.79%","51","35.66%"
"","%","","%","","%","","Votes Cast","","%","","%"
"40","21.74%","5","2.72%","136","73.91%","1","184","1","0.54%","2","1.09%"
"85","42.71%","16","8.04%","45","22.61%","2","199","3","1.51%","50","25.13%"
"75","44.64%","4","2.38%","28","16.67%","3","168","6","3.57%","55","32.74%"
"69","40.12%","11","6.40%","37","21.51%","4","172","7","4.07%","48","27.91%"
"61","41.50%","7","4.76%","23","15.65%","5","147","11","7.48%","45","30.61%"
"62","32.98%","9","4.79%","48","25.53%","6","188","9","4.79%","60","31.91%"
"53","31.93%","7","4.22%","53","31.93%","7","166","9","5.42%","44","26.51%"
"53","45.30%","8","6.84%","19","16.24%","8","117","11","9.40%","26","22.22%"
"101","48.10%","6","2.86%","36","17.14%","9","210","13","6.19%","54","25.71%"
"84","45.41%","6","3.24%","27","14.59%","10","185","9","4.86%","59","31.89%"
"57","35.63%","5","3.13%","63","39.38%","11","160","4","2.50%","31","19.38%"
"43","33.33%","9","6.98%","26","20.16%","12","129","12","9.30%","39","30.23%"
"50","34.48%","7","4.83%","71","48.97%","13","145","2","1.38%","15","10.34%"
"62","40.52%","5","3.27%","29","18.95%","14","153","9","5.88%","48","31.37%"
"105","53.85%","3","1.54%","27","13.85%","15","195","10","5.13%","50","25.64%"
"78","40.84%","7","3.66%","28","14.66%","16","191","9","4.71%","69","36.13%"
"49","33.56%","0","0.00%","54","36.99%","17","146","10","6.85%","33","22.60%"
"84","43.08%","7","3.59%","59","30.26%","18","195","8","4.10%","37","18.97%"
"","%","","%","","%","","Votes Cast","","%","","%"
"72","43.11%","2","1.20%","43","25.75%","19","167","9","5.39%","41","24.55%"
"65","41.94%","7","4.52%","26","16.77%","20","155","8","5.16%","49","31.61%"
"57","39.04%","5","3.42%","26","17.81%","21","146","6","4.11%","52","35.62%"
"55","37.93%","6","4.14%","41","28.28%","22","145","2","1.38%","41","28.28%"
"40","27.21%","7","4.76%","83","56.46%","23","147","2","1.36%","15","10.20%"
"61","46.56%","4","3.05%","24","18.32%","24","131","14","10.69%","28","21.37%"
"106","47.75%","4","1.80%","34","15.32%","25","222","14","6.31%","64","28.83%"
